pct,Experiment,mixture,tax_name,tool,reads
5.21E-06,E.coli - S.saprophyticus,0.1/99.9,Enterococcus faecium,CLARK,1
2.08E-06,E.coli - S.saprophyticus,0.1/99.9,Enterococcus gallinarum,CLARK,1
0.000154278,E.coli - S.saprophyticus,0.1/99.9,Escherichia coli,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Finegoldia magna,CLARK,1
2.08E-06,E.coli - S.saprophyticus,0.1/99.9,Gemella haemolysans,CLARK,1
2.08E-06,E.coli - S.saprophyticus,0.1/99.9,Geobacillus thermodenitrificans,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Helicobacter bizzozeronii,CLARK,1
6.25E-06,E.coli - S.saprophyticus,0.1/99.9,Lactobacillus helveticus,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Lactobacillus jensenii,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Lactobacillus reuteri,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Leptospira biflexa,CLARK,1
9.38E-06,E.coli - S.saprophyticus,0.1/99.9,Listeria monocytogenes,CLARK,1
4.17E-06,E.coli - S.saprophyticus,0.1/99.9,Pedobacter sp. BAL39,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Pelobacter propionicus,CLARK,1
2.08E-06,E.coli - S.saprophyticus,0.1/99.9,Photorhabdus luminescens,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Phycisphaera mikurensis,CLARK,1
2.08E-06,E.coli - S.saprophyticus,0.1/99.9,Porphyromonas gingivalis,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Propionibacterium acnes,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Pseudoflavonifractor capillosus,CLARK,1
3.13E-06,E.coli - S.saprophyticus,0.1/99.9,Rhodomonas salina,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Robiginitalea biformata,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Roseburia inulinivorans,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Salmonella enterica,CLARK,1
2.08E-06,E.coli - S.saprophyticus,0.1/99.9,Saprospira grandis,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Shigella sonnei,CLARK,1
6.25E-06,E.coli - S.saprophyticus,0.1/99.9,Solibacillus silvestris,CLARK,1
0.000334616,E.coli - S.saprophyticus,0.1/99.9,Staphylococcus argenteus,CLARK,1
0.00381108,E.coli - S.saprophyticus,0.1/99.9,Staphylococcus aureus,CLARK,1
0.00268318,E.coli - S.saprophyticus,0.1/99.9,Staphylococcus capitis,CLARK,1
0.00384652,E.coli - S.saprophyticus,0.1/99.9,Staphylococcus caprae,CLARK,1
2.08E-06,E.coli - S.saprophyticus,0.1/99.9,Staphylococcus carnosus,CLARK,1
0.00443965,E.coli - S.saprophyticus,0.1/99.9,Staphylococcus epidermidis,CLARK,1
0.000814128,E.coli - S.saprophyticus,0.1/99.9,Staphylococcus haemolyticus,CLARK,1
0.000868333,E.coli - S.saprophyticus,0.1/99.9,Staphylococcus hominis,CLARK,1
0.00025435,E.coli - S.saprophyticus,0.1/99.9,Staphylococcus lugdunensis,CLARK,1
0.000744286,E.coli - S.saprophyticus,0.1/99.9,Staphylococcus pasteuri,CLARK,1
0.000975702,E.coli - S.saprophyticus,0.1/99.9,Staphylococcus pseudintermedius,CLARK,1
0.976198,E.coli - S.saprophyticus,0.1/99.9,Staphylococcus saprophyticus,CLARK,1
0.00429476,E.coli - S.saprophyticus,0.1/99.9,Staphylococcus warneri,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Streptococcus agalactiae,CLARK,1
5.21E-06,E.coli - S.saprophyticus,0.1/99.9,Streptococcus dysgalactiae,CLARK,1
6.25E-06,E.coli - S.saprophyticus,0.1/99.9,Streptococcus pneumoniae,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Streptococcus pyogenes,CLARK,1
8.34E-06,E.coli - S.saprophyticus,0.1/99.9,Streptococcus suis,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Synechococcus sp. WH 8102,CLARK,1
0.000338786,E.coli - S.saprophyticus,0.1/99.9,Tetragenococcus halophilus,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Thermanaerovibrio acidaminovorans,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Toxoplasma gondii,CLARK,1
2.08E-06,E.coli - S.saprophyticus,0.1/99.9,Vibrio antiquarius,CLARK,1
2.08E-06,E.coli - S.saprophyticus,0.1/99.9,Yersinia pestis,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Acetohalobium arabaticum,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Acholeplasma laidlawii,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Aerococcus urinae,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Anaerococcus hydrogenalis,CLARK,1
9.38E-06,E.coli - S.saprophyticus,0.1/99.9,Bacillus cereus,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Bacillus coahuilensis,CLARK,1
4.17E-06,E.coli - S.saprophyticus,0.1/99.9,Bacillus megaterium,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Bacillus methylotrophicus,CLARK,1
6.88E-05,E.coli - S.saprophyticus,0.1/99.9,Bacillus sp. B14905,CLARK,1
2.08E-06,E.coli - S.saprophyticus,0.1/99.9,Bacillus sp. NRRL B-14911,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Bacillus sp. SG-1,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Bacillus subtilis,CLARK,1
5.21E-06,E.coli - S.saprophyticus,0.1/99.9,Bacillus thuringiensis,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Bigelowiella natans,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Burkholderia pseudomallei,CLARK,1
4.17E-06,E.coli - S.saprophyticus,0.1/99.9,Caminibacter mediatlanticus,CLARK,1
7.30E-06,E.coli - S.saprophyticus,0.1/99.9,Campylobacter coli,CLARK,1
2.08E-06,E.coli - S.saprophyticus,0.1/99.9,Campylobacter jejuni,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Candida dubliniensis,CLARK,1
2.08E-06,E.coli - S.saprophyticus,0.1/99.9,Carnobacterium maltaromaticum,CLARK,1
1.15E-05,E.coli - S.saprophyticus,0.1/99.9,Carnobacterium sp. AT7,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Chlamydomonas reinhardtii,CLARK,1
4.17E-06,E.coli - S.saprophyticus,0.1/99.9,Clostridium botulinum,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Clostridium perfringens,CLARK,1
6.25E-06,E.coli - S.saprophyticus,0.1/99.9,Cupriavidus taiwanensis,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Desulfosporosinus orientis,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Desulfotomaculum nigrificans,CLARK,1
3.13E-06,E.coli - S.saprophyticus,0.1/99.9,Desulfuromonas acetoxidans,CLARK,1
3.13E-06,E.coli - S.saprophyticus,0.1/99.9,Ehrlichia canis,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Enterobacteria phage P1,CLARK,1
5.21E-06,E.coli - S.saprophyticus,0.1/99.9,Enterococcus faecium,CLARK,1
2.08E-06,E.coli - S.saprophyticus,0.1/99.9,Enterococcus gallinarum,CLARK,1
0.000154278,E.coli - S.saprophyticus,0.1/99.9,Escherichia coli,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Finegoldia magna,CLARK,1
2.08E-06,E.coli - S.saprophyticus,0.1/99.9,Gemella haemolysans,CLARK,1
2.08E-06,E.coli - S.saprophyticus,0.1/99.9,Geobacillus thermodenitrificans,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Helicobacter bizzozeronii,CLARK,1
6.25E-06,E.coli - S.saprophyticus,0.1/99.9,Lactobacillus helveticus,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Lactobacillus jensenii,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Lactobacillus reuteri,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Leptospira biflexa,CLARK,1
9.38E-06,E.coli - S.saprophyticus,0.1/99.9,Listeria monocytogenes,CLARK,1
4.17E-06,E.coli - S.saprophyticus,0.1/99.9,Pedobacter sp. BAL39,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Pelobacter propionicus,CLARK,1
2.08E-06,E.coli - S.saprophyticus,0.1/99.9,Photorhabdus luminescens,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Phycisphaera mikurensis,CLARK,1
2.08E-06,E.coli - S.saprophyticus,0.1/99.9,Porphyromonas gingivalis,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Propionibacterium acnes,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Pseudoflavonifractor capillosus,CLARK,1
3.13E-06,E.coli - S.saprophyticus,0.1/99.9,Rhodomonas salina,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Robiginitalea biformata,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Roseburia inulinivorans,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Salmonella enterica,CLARK,1
2.08E-06,E.coli - S.saprophyticus,0.1/99.9,Saprospira grandis,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Shigella sonnei,CLARK,1
6.25E-06,E.coli - S.saprophyticus,0.1/99.9,Solibacillus silvestris,CLARK,1
0.000334616,E.coli - S.saprophyticus,0.1/99.9,Staphylococcus argenteus,CLARK,1
0.00381108,E.coli - S.saprophyticus,0.1/99.9,Staphylococcus aureus,CLARK,1
0.00268318,E.coli - S.saprophyticus,0.1/99.9,Staphylococcus capitis,CLARK,1
0.00384652,E.coli - S.saprophyticus,0.1/99.9,Staphylococcus caprae,CLARK,1
2.08E-06,E.coli - S.saprophyticus,0.1/99.9,Staphylococcus carnosus,CLARK,1
0.00443965,E.coli - S.saprophyticus,0.1/99.9,Staphylococcus epidermidis,CLARK,1
0.000814128,E.coli - S.saprophyticus,0.1/99.9,Staphylococcus haemolyticus,CLARK,1
0.000868333,E.coli - S.saprophyticus,0.1/99.9,Staphylococcus hominis,CLARK,1
0.00025435,E.coli - S.saprophyticus,0.1/99.9,Staphylococcus lugdunensis,CLARK,1
0.000744286,E.coli - S.saprophyticus,0.1/99.9,Staphylococcus pasteuri,CLARK,1
0.000975702,E.coli - S.saprophyticus,0.1/99.9,Staphylococcus pseudintermedius,CLARK,1
0.976198,E.coli - S.saprophyticus,0.1/99.9,Staphylococcus saprophyticus,CLARK,1
0.00429476,E.coli - S.saprophyticus,0.1/99.9,Staphylococcus warneri,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Streptococcus agalactiae,CLARK,1
5.21E-06,E.coli - S.saprophyticus,0.1/99.9,Streptococcus dysgalactiae,CLARK,1
6.25E-06,E.coli - S.saprophyticus,0.1/99.9,Streptococcus pneumoniae,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Streptococcus pyogenes,CLARK,1
8.34E-06,E.coli - S.saprophyticus,0.1/99.9,Streptococcus suis,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Synechococcus sp. WH 8102,CLARK,1
0.000338786,E.coli - S.saprophyticus,0.1/99.9,Tetragenococcus halophilus,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Thermanaerovibrio acidaminovorans,CLARK,1
1.04E-06,E.coli - S.saprophyticus,0.1/99.9,Toxoplasma gondii,CLARK,1
2.08E-06,E.coli - S.saprophyticus,0.1/99.9,Vibrio antiquarius,CLARK,1
2.08E-06,E.coli - S.saprophyticus,0.1/99.9,Yersinia pestis,CLARK,1
2.51E-05,E.coli - S.saprophyticus,1.0/99.0,Bacillus cereus,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Bacillus coagulans,CLARK,1
2.28E-06,E.coli - S.saprophyticus,1.0/99.0,Bacillus coahuilensis,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Bacillus halodurans,CLARK,1
5.70E-06,E.coli - S.saprophyticus,1.0/99.0,Bacillus megaterium,CLARK,1
0.000069557,E.coli - S.saprophyticus,1.0/99.0,Bacillus sp. B14905,CLARK,1
9.12E-06,E.coli - S.saprophyticus,1.0/99.0,Bacillus sp. NRRL B-14911,CLARK,1
3.42E-06,E.coli - S.saprophyticus,1.0/99.0,Bacillus subtilis,CLARK,1
3.42E-06,E.coli - S.saprophyticus,1.0/99.0,Bacillus thuringiensis,CLARK,1
2.28E-06,E.coli - S.saprophyticus,1.0/99.0,Brucella melitensis,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Buchnera aphidicola,CLARK,1
3.42E-06,E.coli - S.saprophyticus,1.0/99.0,Caminibacter mediatlanticus,CLARK,1
3.42E-06,E.coli - S.saprophyticus,1.0/99.0,Campylobacter coli,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Campylobacter jejuni,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Candidatus Cloacimonas acidaminovorans,CLARK,1
2.28E-06,E.coli - S.saprophyticus,1.0/99.0,Carnobacterium maltaromaticum,CLARK,1
9.12E-06,E.coli - S.saprophyticus,1.0/99.0,Carnobacterium sp. AT7,CLARK,1
2.28E-06,E.coli - S.saprophyticus,1.0/99.0,Cellulosilyticum lentocellum,CLARK,1
2.28E-06,E.coli - S.saprophyticus,1.0/99.0,Chlamydomonas reinhardtii,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Citrobacter koseri,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Clostridium botulinum,CLARK,1
2.28E-06,E.coli - S.saprophyticus,1.0/99.0,Clostridium perfringens,CLARK,1
9.12E-06,E.coli - S.saprophyticus,1.0/99.0,Cronobacter sakazakii,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Cupriavidus metallidurans,CLARK,1
2.28E-06,E.coli - S.saprophyticus,1.0/99.0,Cupriavidus taiwanensis,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Cyanophora paradoxa,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Desulfosporosinus orientis,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Desulfotomaculum nigrificans,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Desulfurispirillum indicum,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Desulfuromonas acetoxidans,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Dictyostelium discoideum,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Enterobacter cloacae,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Enterobacter lignolyticus,CLARK,1
3.42E-06,E.coli - S.saprophyticus,1.0/99.0,Enterobacteria phage P1,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Enterobacteriaceae bacterium strain FGI 57,CLARK,1
6.84E-06,E.coli - S.saprophyticus,1.0/99.0,Enterococcus faecium,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Enterococcus gallinarum,CLARK,1
2.28E-06,E.coli - S.saprophyticus,1.0/99.0,Erwinia pyrifoliae,CLARK,1
5.70E-06,E.coli - S.saprophyticus,1.0/99.0,Erwinia sp. Ejp617,CLARK,1
0.0130676,E.coli - S.saprophyticus,1.0/99.0,Escherichia coli,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Escherichia fergusonii,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Ethanoligenens harbinense,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Gemella haemolysans,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Geobacillus sp. GHH01,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Geobacillus sp. JF8,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Glaciecola sp. 4H-3-7+YE-5,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Haemophilus influenzae,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Haliangium ochraceum,CLARK,1
6.84E-06,E.coli - S.saprophyticus,1.0/99.0,Helicobacter bizzozeronii,CLARK,1
2.28E-06,E.coli - S.saprophyticus,1.0/99.0,Herbaspirillum seropedicae,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Klebsiella oxytoca,CLARK,1
2.28E-06,E.coli - S.saprophyticus,1.0/99.0,Klebsiella pneumoniae,CLARK,1
2.28E-06,E.coli - S.saprophyticus,1.0/99.0,Lactobacillus helveticus,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Lactobacillus salivarius,CLARK,1
2.28E-06,E.coli - S.saprophyticus,1.0/99.0,Lactococcus lactis,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Leuconostoc sp. C2,CLARK,1
7.98E-06,E.coli - S.saprophyticus,1.0/99.0,Listeria monocytogenes,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Oceanimonas sp. GK1,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Oligotropha carboxidovorans,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Oscillatoria acuminata,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Paenibacillus mucilaginosus,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Paenibacillus polymyxa,CLARK,1
2.28E-06,E.coli - S.saprophyticus,1.0/99.0,Pediococcus claussenii,CLARK,1
5.70E-06,E.coli - S.saprophyticus,1.0/99.0,Pedobacter sp. BAL39,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Peptoclostridium difficile,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Plautia stali symbiont,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Porphyromonas gingivalis,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Pseudoalteromonas tunicata,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Pseudomonas sp. UW4,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Rhodomonas salina,CLARK,1
9.12E-06,E.coli - S.saprophyticus,1.0/99.0,Robiginitalea biformata,CLARK,1
2.28E-06,E.coli - S.saprophyticus,1.0/99.0,Ruminiclostridium thermocellum,CLARK,1
3.99E-05,E.coli - S.saprophyticus,1.0/99.0,Salmonella enterica,CLARK,1
5.70E-06,E.coli - S.saprophyticus,1.0/99.0,Shigella boydii,CLARK,1
2.28E-06,E.coli - S.saprophyticus,1.0/99.0,Shigella dysenteriae,CLARK,1
6.84E-06,E.coli - S.saprophyticus,1.0/99.0,Shigella flexneri,CLARK,1
6.84E-06,E.coli - S.saprophyticus,1.0/99.0,Shigella sonnei,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Shimwellia blattae,CLARK,1
6.84E-06,E.coli - S.saprophyticus,1.0/99.0,Solibacillus silvestris,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Sphaerochaeta pleomorpha,CLARK,1
0.000350065,E.coli - S.saprophyticus,1.0/99.0,Staphylococcus argenteus,CLARK,1
0.00365117,E.coli - S.saprophyticus,1.0/99.0,Staphylococcus aureus,CLARK,1
0.0024801,E.coli - S.saprophyticus,1.0/99.0,Staphylococcus capitis,CLARK,1
0.00372985,E.coli - S.saprophyticus,1.0/99.0,Staphylococcus caprae,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Staphylococcus carnosus,CLARK,1
0.0041814,E.coli - S.saprophyticus,1.0/99.0,Staphylococcus epidermidis,CLARK,1
0.000971517,E.coli - S.saprophyticus,1.0/99.0,Staphylococcus haemolyticus,CLARK,1
0.00077995,E.coli - S.saprophyticus,1.0/99.0,Staphylococcus hominis,CLARK,1
0.000266825,E.coli - S.saprophyticus,1.0/99.0,Staphylococcus lugdunensis,CLARK,1
0.000774249,E.coli - S.saprophyticus,1.0/99.0,Staphylococcus pasteuri,CLARK,1
0.000972657,E.coli - S.saprophyticus,1.0/99.0,Staphylococcus pseudintermedius,CLARK,1
0.963748,E.coli - S.saprophyticus,1.0/99.0,Staphylococcus saprophyticus,CLARK,1
0.00429657,E.coli - S.saprophyticus,1.0/99.0,Staphylococcus warneri,CLARK,1
4.56E-06,E.coli - S.saprophyticus,1.0/99.0,Streptococcus agalactiae,CLARK,1
3.42E-06,E.coli - S.saprophyticus,1.0/99.0,Streptococcus dysgalactiae,CLARK,1
3.42E-06,E.coli - S.saprophyticus,1.0/99.0,Streptococcus pneumoniae,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Streptococcus pyogenes,CLARK,1
1.71E-05,E.coli - S.saprophyticus,1.0/99.0,Streptococcus suis,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Sulfurimonas denitrificans,CLARK,1
2.28E-06,E.coli - S.saprophyticus,1.0/99.0,Synechococcus sp. WH 8102,CLARK,1
0.000353486,E.coli - S.saprophyticus,1.0/99.0,Tetragenococcus halophilus,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Yersinia enterocolitica,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,Yersinia intermedia,CLARK,1
2.28E-06,E.coli - S.saprophyticus,1.0/99.0,Yersinia pestis,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,[Ruminococcus] gnavus,CLARK,1
1.14E-06,E.coli - S.saprophyticus,1.0/99.0,gamma proteobacterium NOR5-3,CLARK,1
0.000000966,E.coli - S.saprophyticus,10.0/90.0,Acetobacterium woodii,CLARK,1
0.000000966,E.coli - S.saprophyticus,10.0/90.0,Acetohalobium arabaticum,CLARK,1
2.90E-06,E.coli - S.saprophyticus,10.0/90.0,Aliivibrio salmonicida,CLARK,1
1.93E-06,E.coli - S.saprophyticus,10.0/90.0,Alteromonas mediterranea,CLARK,1
0.000000966,E.coli - S.saprophyticus,10.0/90.0,Aquifex aeolicus,CLARK,1
1.83E-05,E.coli - S.saprophyticus,10.0/90.0,Bacillus cereus,CLARK,1
1.93E-06,E.coli - S.saprophyticus,10.0/90.0,Bacillus coahuilensis,CLARK,1
0.000000966,E.coli - S.saprophyticus,10.0/90.0,Bacillus cytotoxicus,CLARK,1
2.90E-06,E.coli - S.saprophyticus,10.0/90.0,Bacillus megaterium,CLARK,1
7.15E-05,E.coli - S.saprophyticus,10.0/90.0,Bacillus sp. B14905,CLARK,1
9.66E-06,E.coli - S.saprophyticus,10.0/90.0,Bacillus sp. NRRL B-14911,CLARK,1
0.000000966,E.coli - S.saprophyticus,10.0/90.0,Bacillus sp. SG-1,CLARK,1
0.000000966,E.coli - S.saprophyticus,10.0/90.0,Bacillus subtilis,CLARK,1
8.69E-06,E.coli - S.saprophyticus,10.0/90.0,Bacillus thuringiensis,CLARK,1
0.000000966,E.coli - S.saprophyticus,10.0/90.0,Brucella sp. NVSL 07-0026,CLARK,1
0.000000966,E.coli - S.saprophyticus,10.0/90.0,Buchnera aphidicola,CLARK,1
1.93E-06,E.coli - S.saprophyticus,10.0/90.0,Campylobacter coli,CLARK,1
2.90E-06,E.coli - S.saprophyticus,10.0/90.0,Campylobacter jejuni,CLARK,1
0.000000966,E.coli - S.saprophyticus,10.0/90.0,Candidatus Liberibacter asiaticus,CLARK,1
4.83E-06,E.coli - S.saprophyticus,10.0/90.0,Carnobacterium maltaromaticum,CLARK,1
1.45E-05,E.coli - S.saprophyticus,10.0/90.0,Carnobacterium sp. AT7,CLARK,1
1.93E-06,E.coli - S.saprophyticus,10.0/90.0,Cellulosilyticum lentocellum,CLARK,1
0.000000966,E.coli - S.saprophyticus,10.0/90.0,Chaetomium globosum,CLARK,1
1.93E-06,E.coli - S.saprophyticus,10.0/90.0,Chlamydomonas reinhardtii,CLARK,1
