abundance,pct,reads,sample,tax_name
0,8.23E-06,56,Patient2,Xenorhabdus nematophila
1.04E-08,1.34E-05,91,Patient2,Yersinia enterocolitica
5.15E-07,1.95E-05,133,Patient2,Yersinia intermedia
0,1.18E-06,8,Patient2,Yersinia pestis
0,4.70E-06,32,Patient2,Yersinia pseudotuberculosis
0,1.70E-05,116,Patient2,Edwardsiella tarda
8.87E-08,0.000194481,1324,Patient2,Aeromonas hydrophila
1.95E-16,2.03E-05,138,Patient2,Aeromonas salmonicida
3.67E-08,2.50E-05,170,Patient2,Aeromonas media
0,3.00E-05,204,Patient2,Aeromonas schubertii
1.08E-07,3.97E-05,270,Patient2,Aeromonas veronii
0,4.26E-06,29,Patient2,Vibrio alginolyticus
8.88E-60,9.99E-06,68,Patient2,Vibrio cholerae
0,5.29E-06,36,Patient2,Aliivibrio fischeri
0,3.53E-06,24,Patient2,Vibrio harveyi
0,8.96E-06,61,Patient2,Vibrio parahaemolyticus
0,1.37E-05,93,Patient2,Vibrio vulnificus
0,4.11E-06,28,Patient2,Grimontia hollisae
0,5.29E-06,36,Patient2,Vibrio mimicus
6.18E-08,1.15E-05,78,Patient2,Vibrio fluvialis
0,2.79E-06,19,Patient2,Vibrio campbellii
0,4.85E-06,33,Patient2,Vibrio natriegens
0,8.37E-06,57,Patient2,Plesiomonas shigelloides
0,1.26E-05,86,Patient2,Aggregatibacter actinomycetemcomitans
0,8.67E-06,59,Patient2,Actinobacillus pleuropneumoniae
0,4.41E-06,30,Patient2,Actinobacillus suis
0,1.62E-06,11,Patient2,Actinobacillus equuli
1.69E-07,5.77E-05,393,Patient2,Haemophilus influenzae
1.88E-06,0.000247948,1688,Patient2,Haemophilus parainfluenzae
0,1.04E-05,71,Patient2,[Haemophilus] ducreyi
0,4.85E-06,33,Patient2,Histophilus somni
4.21E-08,2.17E-05,148,Patient2,Aggregatibacter aphrophilus
8.59E-61,9.69E-06,66,Patient2,[Haemophilus] parasuis
0,1.81E-05,123,Patient2,Pasteurella multocida
0,7.49E-06,51,Patient2,Gallibacterium anatis
0,1.32E-06,9,Patient2,Anaplasma centrale
0,1.47E-06,10,Patient2,Anaplasma marginale
0,1.18E-06,8,Patient2,Bartonella bacilliformis
0,1.16E-05,79,Patient2,Coxiella burnetii
0,8.81E-07,6,Patient2,Ehrlichia ruminantium
0,1.47E-07,1,Patient2,Rickettsia conorii
0,2.94E-06,20,Patient2,Orientia tsutsugamushi
0,2.94E-07,2,Patient2,Rickettsia typhi
0,7.34E-07,5,Patient2,Rickettsia akari
0,8.81E-07,6,Patient2,Rickettsia australis
0,1.03E-06,7,Patient2,Rickettsia canadensis
0,2.06E-06,14,Patient2,Bartonella quintana
9.62E-20,1.89E-05,129,Patient2,Chlamydia trachomatis
5.53E-07,2.75E-05,187,Patient2,Bacteroides fragilis
3.15E-07,1.81E-05,123,Patient2,Bacteroides thetaiotaomicron
9.03E-07,3.53E-05,240,Patient2,Bacteroides vulgatus
1.69E-07,6.90E-06,47,Patient2,Parabacteroides distasonis
0,2.50E-06,17,Patient2,Campylobacter gracilis
0,6.46E-06,44,Patient2,Sebaldella termitidis
0,2.50E-06,17,Patient2,Campylobacter ureolyticus
0,2.94E-06,20,Patient2,Fibrobacter succinogenes
0,7.05E-06,48,Patient2,Porphyromonas gingivalis
0,3.53E-06,24,Patient2,Prevotella ruminicola
0,5.88E-07,4,Patient2,Wolinella succinogenes
1.83E-06,6.65E-05,453,Patient2,Fusobacterium nucleatum
0,6.02E-06,41,Patient2,Syntrophomonas wolfei
0,6.90E-06,47,Patient2,Dichelobacter nodosus
0,1.97E-05,134,Patient2,Desulfovibrio africanus
2.20E-08,4.70E-05,320,Patient2,Desulfovibrio desulfuricans
0,2.94E-06,20,Patient2,Desulfovibrio salexigens
5.85E-08,6.08E-05,414,Patient2,Desulfovibrio vulgaris
0,1.45E-05,99,Patient2,Desulfobulbus propionicus
0,1.20E-05,82,Patient2,Desulfococcus multivorans
0,1.95E-05,133,Patient2,Desulfomicrobium baculatum
0,9.25E-06,63,Patient2,Acidaminococcus fermentans
0,6.90E-06,47,Patient2,Megasphaera elsdenii
8.57E-08,6.64E-05,452,Patient2,Nitrobacter hamburgensis
2.45E-78,3.85E-05,262,Patient2,Nitrobacter winogradskyi
5.99E-08,1.01E-05,69,Patient2,Nitrosomonas europaea
0,1.07E-05,73,Patient2,Nitrosomonas eutropha
0,1.04E-05,71,Patient2,Acidithiobacillus ferrooxidans
1.87E-24,0.000113839,775,Patient2,Starkeya novella
2.17E-08,7.27E-05,495,Patient2,Thiomonas intermedia
0,1.32E-05,90,Patient2,Halothiobacillus neapolitanus
0,1.76E-06,12,Patient2,Ehrlichia canis
0,2.94E-07,2,Patient2,Anaplasma phagocytophilum
0,2.94E-07,2,Patient2,Neorickettsia risticii
0,5.88E-07,4,Patient2,Francisella persica
4.06E-08,2.42E-05,165,Patient2,Bdellovibrio bacteriovorus
2.57E-16,9.67E-05,658,Patient2,Herbaspirillum seropedicae
0,4.41E-06,30,Patient2,Selenomonas ruminantium
0,1.50E-05,102,Patient2,Cellulophaga lytica
0,1.29E-05,88,Patient2,Pedobacter heparinus
3.34E-08,3.41E-05,232,Patient2,Cytophaga hutchinsonii
9.83E-22,0.000120596,821,Patient2,Flavobacterium johnsoniae
0,6.02E-06,41,Patient2,Solitalea canadensis
0,4.92E-05,335,Patient2,Flavobacterium columnare
0,1.65E-05,112,Patient2,Flexibacter litoralis
0,1.12E-05,76,Patient2,Marivirga tractuosa
0,4.85E-06,33,Patient2,Saprospira grandis
0,9.69E-06,66,Patient2,Weeksella virosa
3.74E-07,3.92E-05,267,Patient2,Capnocytophaga ochracea
1.02E-30,6.67E-05,454,Patient2,Allochromatium vinosum
0,4.02E-05,274,Patient2,Halorhodospira halophila
6.05E-19,9.64E-05,656,Patient2,Rhodobacter capsulatus
1.51E-08,0.000333144,2268,Patient2,Rhodobacter sphaeroides
0,4.41E-05,300,Patient2,Rhodomicrobium vannielii
1.32E-07,0.000668197,4549,Patient2,Rhodopseudomonas palustris
7.81E-09,8.43E-05,574,Patient2,Blastochloris viridis
1.54E-52,3.08E-05,210,Patient2,Pararhodospirillum photometricum
0,4.54E-05,309,Patient2,Rhodospirillum rubrum
0,3.23E-06,22,Patient2,Chlorobium limicola
0,1.18E-06,8,Patient2,Chlorobium phaeovibrioides
0,1.20E-05,82,Patient2,Chlorobium phaeobacteroides
0,1.31E-05,89,Patient2,Chlorobaculum tepidum
0,8.81E-06,60,Patient2,Pelodictyon luteolum
0,5.73E-06,39,Patient2,Prosthecochloris aestuarii
1.28E-18,7.37E-05,502,Patient2,Porphyrobacter neustonensis
0,4.11E-06,28,Patient2,Microcystis aeruginosa
0,2.35E-06,16,Patient2,Synechocystis sp. PCC 6714
0,8.81E-07,6,Patient2,Synechocystis sp. PCC 6803
0,3.08E-06,21,Patient2,Trichormus azollae
0,8.37E-06,57,Patient2,Anabaena cylindrica
0,4.70E-06,32,Patient2,Trichodesmium erythraeum
0,1.38E-05,94,Patient2,Prochlorococcus marinus
0,5.58E-06,38,Patient2,Nitrosococcus oceani
0,5.58E-06,38,Patient2,Nitrosospira multiformis
0,8.52E-06,58,Patient2,Piscirickettsia salmonis
2.35E-07,8.81E-06,60,Patient2,Leuconostoc gelidum
2.77E-06,6.60E-05,449,Patient2,Leuconostoc mesenteroides
1.84E-05,0.000623102,4242,Patient2,Leuconostoc lactis
0,4.70E-06,32,Patient2,Oenococcus oeni
1.39E-07,1.13E-05,77,Patient2,Leuconostoc carnosum
0,1.47E-06,10,Patient2,Pediococcus acidilactici
5.77E-63,3.08E-06,21,Patient2,Pediococcus pentosaceus
7.19E-07,3.76E-05,256,Patient2,Finegoldia magna
6.27E-18,3.67E-06,25,Patient2,Ruminococcus albus
9.92E-05,0.005251418,35751,Patient2,Micrococcus luteus
1.41E-06,0.00045888,3124,Patient2,Dermacoccus nishinomiyaensis
1.15E-06,0.000283348,1929,Patient2,Kytococcus sedentarius
6.38E-07,7.61E-05,518,Patient2,Staphylococcus aureus
0,4.85E-06,33,Patient2,Staphylococcus carnosus
2.08E-05,0.000839322,5714,Patient2,Staphylococcus epidermidis
5.79E-06,0.000213576,1454,Patient2,Staphylococcus haemolyticus
0,4.26E-06,29,Patient2,Staphylococcus hyicus
1.32E-06,2.78E-05,189,Patient2,Staphylococcus simulans
3.53E-08,2.91E-05,198,Patient2,Staphylococcus xylosus
2.94E-05,0.000428034,2914,Patient2,Staphylococcus warneri
1.89E-08,1.44E-05,98,Patient2,Staphylococcus schleiferi
1.12E-08,3.88E-05,264,Patient2,Deinococcus radiodurans
1.68E-06,0.000177735,1210,Patient2,Streptococcus gordonii
2.99E-07,0.000128968,878,Patient2,Streptococcus oralis
1.60E-06,0.000263225,1792,Patient2,Streptococcus salivarius
3.07E-06,0.000449626,3061,Patient2,Streptococcus sanguinis
5.57E-08,1.32E-05,90,Patient2,Streptococcus suis
9.45E-05,0.001802324,12270,Patient2,Streptococcus thermophilus
0,8.96E-06,61,Patient2,Streptococcus mutans
3.11E-08,1.15E-05,78,Patient2,Streptococcus agalactiae
1.93E-06,0.000234581,1597,Patient2,Streptococcus pneumoniae
1.77E-14,8.96E-06,61,Patient2,Streptococcus pyogenes
1.49E-07,5.29E-05,360,Patient2,Streptococcus parasanguinis
2.25E-07,2.20E-05,150,Patient2,Streptococcus anginosus
4.46E-07,3.82E-06,26,Patient2,Streptococcus dysgalactiae
6.99E-08,6.90E-06,47,Patient2,Streptococcus equi
3.25E-07,1.79E-05,122,Patient2,Streptococcus intermedius
0,3.97E-06,27,Patient2,Streptococcus iniae
0,7.34E-07,5,Patient2,Streptococcus parauberis
1.71E-56,4.70E-06,32,Patient2,Streptococcus uberis
1.32E-07,6.76E-06,46,Patient2,Enterococcus faecalis
6.34E-08,1.79E-05,122,Patient2,Enterococcus faecium
0,2.50E-06,17,Patient2,Enterococcus gallinarum
0,1.03E-06,7,Patient2,Enterococcus hirae
2.10E-05,0.00041922,2854,Patient2,Lactococcus lactis
0,3.23E-06,22,Patient2,Lactococcus garvieae
4.86E-62,4.26E-06,29,Patient2,Lactococcus piscium
0,5.88E-06,40,Patient2,Planococcus kocurii
9.90E-52,2.06E-06,14,Patient2,Aerococcus urinae
1.02E-07,1.31E-05,89,Patient2,Aerococcus viridans
0,2.25E-05,153,Patient2,Atopobium parvulum
0,2.64E-06,18,Patient2,Bacillus amyloliquefaciens
9.30E-31,7.34E-07,5,Patient2,Bacillus anthracis
0,4.11E-06,28,Patient2,Brevibacillus brevis
4.82E-07,2.19E-05,149,Patient2,Bacillus cereus
2.74E-07,7.93E-06,54,Patient2,Bacillus coagulans
0,1.47E-06,10,Patient2,Bacillus licheniformis
4.17E-08,7.20E-06,49,Patient2,Bacillus megaterium
0,7.20E-06,49,Patient2,Bacillus mycoides
0,8.08E-06,55,Patient2,Paenibacillus polymyxa
3.58E-09,7.79E-06,53,Patient2,Bacillus pumilus
0,2.20E-06,15,Patient2,Bacillus cellulosilyticus
0,1.91E-06,13,Patient2,Lysinibacillus sphaericus
4.28E-156,7.79E-06,53,Patient2,Bacillus subtilis
0,3.82E-06,26,Patient2,Parageobacillus thermoglucosidans
1.60E-15,1.85E-05,126,Patient2,Bacillus thuringiensis
0,2.20E-06,15,Patient2,Amphibacillus xylanus
0,1.47E-06,10,Patient2,Bacillus atrophaeus
0,1.47E-07,1,Patient2,Geobacillus kaustophilus
0,2.79E-06,19,Patient2,Paenibacillus larvae
0,2.35E-06,16,Patient2,Brevibacillus laterosporus
0,5.29E-06,36,Patient2,Bacillus methanolicus
0,1.18E-06,8,Patient2,Sporosarcina psychrophila
0,1.47E-06,10,Patient2,Bacillus simplex
4.38E-08,4.55E-06,31,Patient2,Bacillus smithii
0,2.64E-06,18,Patient2,Clostridium acetobutylicum
0,1.62E-05,110,Patient2,Clostridium botulinum
1.07E-08,3.97E-06,27,Patient2,Clostridium butyricum
0,2.06E-06,14,Patient2,Clostridium cellulovorans
1.47E-07,1.45E-05,99,Patient2,Clostridioides difficile
0,1.32E-06,9,Patient2,Clostridium formicaceticum
0,1.25E-05,85,Patient2,Clostridium pasteurianum
0,1.10E-05,75,Patient2,Clostridium perfringens
0,2.06E-06,14,Patient2,Clostridium sporogenes
0,4.41E-07,3,Patient2,[Clostridium] stercorarium
0,3.38E-06,23,Patient2,Acetoanaerobium sticklandii
0,5.14E-06,35,Patient2,Clostridium tetani
0,3.82E-06,26,Patient2,Ruminiclostridium thermocellum
0,3.23E-06,22,Patient2,Thermoanaerobacterium thermosaccharolyticum
0,4.26E-06,29,Patient2,Clostridium tyrobutyricum
0,5.73E-06,39,Patient2,Clostridium beijerinckii
0,3.08E-06,21,Patient2,[Clostridium] cellulolyticum
0,1.15E-05,78,Patient2,Moorella thermoacetica
3.34E-20,2.79E-06,19,Patient2,Clostridium kluyveri
0,1.47E-07,1,Patient2,Clostridium ljungdahlii
0,3.08E-06,21,Patient2,Clostridium novyi
0,4.70E-06,32,Patient2,Clostridium scatologenes
0,1.76E-06,12,Patient2,Gottschalkia acidurici
0,2.94E-06,20,Patient2,Clostridium baratii
0,1.76E-06,12,Patient2,Desulfosporosinus orientis
0,3.82E-06,26,Patient2,Desulfotomaculum ruminis
0,2.06E-06,14,Patient2,Desulfotomaculum nigrificans
0,2.50E-06,17,Patient2,Halobacillus halophilus
7.71E-08,0.000399684,2721,Patient2,Leifsonia xyli
0,3.67E-06,25,Patient2,Lactobacillus acidophilus
1.60E-18,1.91E-06,13,Patient2,Lactobacillus brevis
6.10E-18,8.81E-07,6,Patient2,Lactobacillus buchneri
6.49E-08,5.58E-06,38,Patient2,Lactobacillus casei
4.24E-08,8.81E-06,60,Patient2,Lactobacillus delbrueckii
5.53E-07,1.75E-05,119,Patient2,Lactobacillus helveticus
5.31E-08,7.34E-06,50,Patient2,Lactobacillus plantarum
0,8.81E-07,6,Patient2,Lactobacillus gasseri
2.57E-18,4.55E-06,31,Patient2,Lactobacillus paracasei
6.80E-08,4.99E-06,34,Patient2,Lactobacillus reuteri
1.05E-06,2.59E-05,176,Patient2,Lactobacillus sakei
0,4.41E-07,3,Patient2,Lactobacillus acetotolerans
0,4.41E-07,3,Patient2,Lactobacillus amylovorus
1.09E-07,6.02E-06,41,Patient2,Lactobacillus fermentum
0,1.18E-06,8,Patient2,Lactobacillus ruminis
0,9.99E-06,68,Patient2,Lactobacillus salivarius
0,3.67E-06,25,Patient2,Lactobacillus sanfranciscensis
0,3.38E-06,23,Patient2,Listeria ivanovii
5.90E-71,7.64E-06,52,Patient2,Listeria monocytogenes
0,1.76E-06,12,Patient2,Listeria seeligeri
7.56E-124,1.18E-06,8,Patient2,Listeria innocua
0,2.20E-06,15,Patient2,Listeria welshimeri
1.92E-17,3.11E-05,212,Patient2,Renibacterium salmoninarum
2.23E-16,2.35E-06,16,Patient2,Erysipelothrix rhusiopathiae
0,2.70E-05,184,Patient2,Trueperella pyogenes
2.31E-08,3.60E-05,245,Patient2,Bifidobacterium adolescentis
4.52E-06,0.000109873,748,Patient2,Bifidobacterium bifidum
3.61E-74,1.09E-05,74,Patient2,Bifidobacterium angulatum
1.08E-63,1.59E-05,108,Patient2,Bifidobacterium asteroides
1.21E-06,4.94E-05,336,Patient2,Bifidobacterium breve
9.61E-08,4.11E-06,28,Patient2,Bifidobacterium catenulatum
0,5.43E-06,37,Patient2,Bifidobacterium coryneforme
2.81E-08,1.15E-05,78,Patient2,Bifidobacterium dentium
0,1.18E-06,8,Patient2,Bifidobacterium indicum
0,2.14E-05,146,Patient2,Bifidobacterium pseudolongum
1.57E-07,0.000174798,1190,Patient2,Brevibacterium linens
1.88E-07,1.91E-05,130,Patient2,Corynebacterium stationis
2.26E-07,0.000307144,2091,Patient2,Cellulomonas fimi
2.16E-08,0.000253971,1729,Patient2,Cellulomonas flavigena
2.77E-19,2.54E-05,173,Patient2,Corynebacterium diphtheriae
1.02E-15,1.29E-05,88,Patient2,Corynebacterium glutamicum
9.65E-14,2.70E-05,184,Patient2,Corynebacterium pseudotuberculosis
2.26E-07,8.52E-06,58,Patient2,Corynebacterium callunae
5.59E-07,0.000100472,684,Patient2,Corynebacterium variabile
0,3.08E-06,21,Patient2,Peptoclostridium acidaminophilum
0,9.11E-06,62,Patient2,Eubacterium limosum
0,1.32E-06,9,Patient2,Thermodesulfobacterium commune
2.95E-07,0.000252649,1720,Patient2,Propionibacterium freudenreichii
0.00136668,0.028016815,190735,Patient2,Propionibacterium acnes
1.10E-08,0.000481501,3278,Patient2,Acidipropionibacterium acidipropionici
1.50E-07,0.000212107,1444,Patient2,Pseudopropionibacterium propionicum
9.53E-16,0.000260581,1774,Patient2,Mycobacterium avium
0,1.47E-07,1,Patient2,Mycobacterium bovis
5.27E-07,6.67E-05,454,Patient2,Mycobacterium fortuitum
0,1.67E-05,114,Patient2,Mycobacterium intracellulare
3.61E-18,8.06E-05,549,Patient2,Mycobacterium kansasii
0,1.09E-05,74,Patient2,Mycobacterium leprae
6.69E-08,0.000223711,1523,Patient2,Mycobacterium phlei
2.80E-34,0.000205204,1397,Patient2,Mycobacterium smegmatis
0,1.06E-05,72,Patient2,Mycobacterium tuberculosis
0,3.19E-05,217,Patient2,Mycobacterium chelonae
0,3.98E-05,271,Patient2,Mycobacterium marinum
2.09E-07,0.000205644,1400,Patient2,Mycobacterium chubuense
7.72E-18,0.00018508,1260,Patient2,Mycobacterium gilvum
2.67E-08,0.000202706,1380,Patient2,Mycobacterium vaccae
5.08E-142,0.000274388,1868,Patient2,Amycolatopsis methanolica
5.28E-08,4.79E-05,326,Patient2,Rhodococcus fascians
6.31E-08,7.32E-05,498,Patient2,Rhodococcus erythropolis
1.41E-49,0.000352974,2403,Patient2,Saccharopolyspora erythraea
4.47E-54,0.000126177,859,Patient2,Saccharomonospora viridis
0,0.000210491,1433,Patient2,Frankia alni
1.78E-06,0.002651194,18049,Patient2,Geodermatophilus obscurus
8.38E-08,0.000404238,2752,Patient2,Actinoplanes missouriensis
2.06E-18,0.000342838,2334,Patient2,Streptomyces albus
0,0.000112076,763,Patient2,Streptomyces ambofaciens
1.66E-14,0.000127352,867,Patient2,Streptomyces clavuligerus
0,8.80E-05,599,Patient2,Streptomyces coelicolor
0,0.000138369,942,Patient2,Streptomyces glaucescens
4.64E-17,0.000108404,738,Patient2,Streptomyces globisporus
0,0.000140132,954,Patient2,Streptomyces griseus
5.68E-21,0.000140866,959,Patient2,Streptomyces hygroscopicus
2.89E-08,0.000199475,1358,Patient2,Streptomyces lincolnensis
1.40E-08,0.000105907,721,Patient2,Streptomyces lividans
2.75E-08,0.00011002,749,Patient2,Streptomyces reticuli
0,0.000203735,1387,Patient2,Streptomyces scabiei
2.78E-08,6.77E-05,461,Patient2,Streptomyces noursei
7.37E-09,0.000391899,2668,Patient2,Streptosporangium roseum
1.77E-08,0.000220921,1504,Patient2,Thermobispora bispora
1.14E-08,0.000238107,1621,Patient2,Nocardiopsis dassonvillei
5.37E-08,0.000354442,2413,Patient2,Thermomonospora curvata
0,0.000118392,806,Patient2,Thermobifida fusca
4.83E-08,0.000153939,1048,Patient2,Microbacterium testaceum
0,1.47E-07,1,Patient2,Tropheryma whipplei
2.74E-15,0.000405119,2758,Patient2,Aeromicrobium erythreum
9.73E-08,0.000729155,4964,Patient2,Pimelobacter simplex
5.81E-07,8.55E-05,582,Patient2,Rothia dentocariosa
0,2.20E-06,15,Patient2,Mobiluncus curtisii
2.65E-06,0.000284377,1936,Patient2,Gordonia bronchialis
3.15E-07,0.000180526,1229,Patient2,Gordonia terrae
3.71E-08,6.61E-05,450,Patient2,Sphaerobacter thermophilus
5.62E-37,0.000118539,807,Patient2,Tsukamurella paurometabola
