abundance,pct,reads,sample,tax_name,technique
4.38E-08,4.59E-05,121,Patient2,Bacillus megaterium,database exclusion
0,3.75E-05,99,Patient2,Bacillus mycoides,database exclusion
0,4.02E-05,106,Patient2,Paenibacillus polymyxa,database exclusion
2.01E-08,2.54E-05,67,Patient2,Bacillus pumilus,database exclusion
0,2.73E-05,72,Patient2,Lysinibacillus sphaericus,database exclusion
2.81E-194,3.83E-05,101,Patient2,Bacillus subtilis,database exclusion
1.08E-07,0.00012668,334,Patient2,Bacillus thuringiensis,database exclusion
0,1.14E-06,3,Patient2,Bacillus atrophaeus,database exclusion
0,1.21E-05,32,Patient2,Sporosarcina psychrophila,database exclusion
0,1.18E-05,31,Patient2,Paenibacillus larvae,database exclusion
0,1.10E-05,29,Patient2,Bacillus simplex,database exclusion
4.41E-08,1.48E-05,39,Patient2,Bacillus smithii,database exclusion
0,1.90E-06,5,Patient2,Virgibacillus halodenitrificans,database exclusion
0,0.000124025,327,Patient2,Clostridium botulinum,database exclusion
7.96E-09,3.26E-05,86,Patient2,Clostridium butyricum,database exclusion
2.25E-07,3.22E-05,85,Patient2,Clostridioides difficile,database exclusion
0,3.83E-05,101,Patient2,Clostridium perfringens,database exclusion
0,1.52E-05,40,Patient2,Acetoanaerobium sticklandii,database exclusion
0,2.54E-05,67,Patient2,Clostridium tyrobutyricum,database exclusion
0,3.60E-05,95,Patient2,Clostridium beijerinckii,database exclusion
0,4.55E-06,12,Patient2,Moorella thermoacetica,database exclusion
5.55E-28,9.48E-06,25,Patient2,Clostridium kluyveri,database exclusion
0,3.00E-05,79,Patient2,Clostridium scatologenes,database exclusion
0,1.71E-05,45,Patient2,Clostridium estertheticum,database exclusion
0,3.22E-05,85,Patient2,Clostridium baratii,database exclusion
0,2.77E-05,73,Patient2,Sporosarcina ureae,database exclusion
6.62E-08,0.000822282,2168,Patient2,Leifsonia xyli,database exclusion
3.59E-35,7.96E-06,21,Patient2,Lactobacillus brevis,database exclusion
0,1.33E-05,35,Patient2,Lactobacillus casei,database exclusion
2.51E-07,3.00E-05,79,Patient2,Lactobacillus delbrueckii,database exclusion
1.37E-06,3.30E-05,87,Patient2,Lactobacillus helveticus,database exclusion
1.20E-07,2.58E-05,68,Patient2,Lactobacillus plantarum,database exclusion
0,7.21E-06,19,Patient2,Lactobacillus gasseri,database exclusion
0,6.83E-06,18,Patient2,Lactobacillus paracasei,database exclusion
3.32E-08,1.18E-05,31,Patient2,Lactobacillus reuteri,database exclusion
8.19E-21,4.93E-06,13,Patient2,Lactobacillus acetotolerans,database exclusion
0,1.52E-06,4,Patient2,Lactobacillus amylovorus,database exclusion
1.07E-07,9.86E-06,26,Patient2,Lactobacillus fermentum,database exclusion
0,1.18E-05,31,Patient2,Lactobacillus salivarius,database exclusion
1.83E-295,3.57E-05,94,Patient2,Listeria monocytogenes,database exclusion
2.51E-78,6.07E-06,16,Patient2,Erysipelothrix rhusiopathiae,database exclusion
5.01E-07,0.000344008,907,Patient2,Actinomyces odontolyticus,database exclusion
0,4.25E-05,112,Patient2,Trueperella pyogenes,database exclusion
4.21E-06,0.000229845,606,Patient2,Bifidobacterium longum,database exclusion
4.99E-07,2.35E-05,62,Patient2,Bifidobacterium adolescentis,database exclusion
6.47E-06,4.32E-05,114,Patient2,Bifidobacterium bifidum,database exclusion
5.48E-276,3.03E-06,8,Patient2,Bifidobacterium angulatum,database exclusion
1.79E-06,9.98E-05,263,Patient2,Bifidobacterium breve,database exclusion
0,1.33E-05,35,Patient2,Bifidobacterium coryneforme,database exclusion
1.55E-07,0.000407728,1075,Patient2,Brevibacterium linens,database exclusion
3.04E-08,2.50E-05,66,Patient2,Corynebacterium stationis,database exclusion
9.71E-35,0.000539718,1423,Patient2,Cellulosimicrobium cellulans,database exclusion
9.32E-33,4.21E-05,111,Patient2,Corynebacterium diphtheriae,database exclusion
8.81E-08,3.87E-05,102,Patient2,Corynebacterium glutamicum,database exclusion
3.32E-07,0.000128197,338,Patient2,Corynebacterium pseudotuberculosis,database exclusion
0,4.17E-05,110,Patient2,Eubacterium limosum,database exclusion
2.57E-07,0.000195709,516,Patient2,Propionibacterium freudenreichii,database exclusion
0.00183737,0.04501882,118695,Patient2,Propionibacterium acnes,database exclusion
2.21E-08,0.000464241,1224,Patient2,Acidipropionibacterium acidipropionici,database exclusion
4.61E-17,0.00041721,1100,Patient2,Mycobacterium avium,database exclusion
0,3.79E-07,1,Patient2,Mycobacterium bovis,database exclusion
4.72E-07,0.000163091,430,Patient2,Mycobacterium fortuitum,database exclusion
6.55E-08,0.000505962,1334,Patient2,Mycobacterium phlei,database exclusion
0,0.000431243,1137,Patient2,Mycobacterium smegmatis,database exclusion
0,0.000134645,355,Patient2,Mycobacterium tuberculosis,database exclusion
9.96E-35,0.000460068,1213,Patient2,Mycobacterium aurum,database exclusion
3.58E-08,0.000142231,375,Patient2,Rhodococcus erythropolis,database exclusion
4.26E-08,6.03E-05,159,Patient2,Streptomyces albus,database exclusion
0,5.31E-05,140,Patient2,Streptomyces ambofaciens,database exclusion
1.49E-08,0.000590541,1557,Patient2,Streptomyces aureofaciens,database exclusion
3.28E-47,0.000286358,755,Patient2,Streptomyces clavuligerus,database exclusion
3.58E-54,0.000299632,790,Patient2,Streptomyces glaucescens,database exclusion
3.42E-33,0.000319734,843,Patient2,Streptomyces hygroscopicus,database exclusion
1.87E-08,0.000437312,1153,Patient2,Streptomyces lincolnensis,database exclusion
6.87E-08,0.000245395,647,Patient2,Streptomyces reticuli,database exclusion
2.69E-08,0.000202916,535,Patient2,Streptomyces violaceoruber,database exclusion
0,0.000334147,881,Patient2,Streptomyces albireticuli,database exclusion
1.13E-08,4.97E-05,131,Patient2,Nocardiopsis dassonvillei,database exclusion
3.85E-27,0.000933791,2462,Patient2,Aeromicrobium erythreum,database exclusion
9.22E-08,0.001732937,4569,Patient2,Pimelobacter simplex,database exclusion
3.10E-07,0.000445277,1174,Patient2,Gordonia terrae,database exclusion
0,4.17E-06,11,Patient2,Mycoplasma arginini,database exclusion
0,3.03E-06,8,Patient2,Mycoplasma capricolum,database exclusion
0,6.83E-06,18,Patient2,Mycoplasma gallisepticum,database exclusion
0,8.34E-06,22,Patient2,Mycoplasma hominis,database exclusion
0,5.31E-06,14,Patient2,Mycoplasma hyopneumoniae,database exclusion
0,8.72E-06,23,Patient2,Mycoplasma hyorhinis,database exclusion
0,1.25E-05,33,Patient2,Mycoplasma mycoides,database exclusion
0,1.52E-06,4,Patient2,Mycoplasma pneumoniae,database exclusion
0,8.34E-06,22,Patient2,Mycoplasma agalactiae,database exclusion
0,3.41E-06,9,Patient2,Mycoplasma californicum,database exclusion
0,1.02E-05,27,Patient2,Spiroplasma citri,database exclusion
0,9.10E-06,24,Patient2,Methanobacterium formicicum,database exclusion
0,7.59E-07,2,Patient2,Methanohalophilus halophilus,database exclusion
0,1.48E-05,39,Patient2,Methanosarcina mazei,database exclusion
0,4.17E-06,11,Patient2,Sulfolobus solfataricus,database exclusion
0,7.96E-06,21,Patient2,Thermoanaerobacter kivui,database exclusion
0,2.28E-05,60,Patient2,Candidatus Sodalis,database exclusion
0,3.38E-05,89,Patient2,Xylella fastidiosa,database exclusion
0,3.79E-07,1,Patient2,Fervidobacterium islandicum,database exclusion
4.19E-06,4.51E-05,119,Patient2,Gardnerella vaginalis,database exclusion
0,1.14E-06,3,Patient2,Variola virus,database exclusion
0,3.41E-06,9,Patient2,Orf virus,database exclusion
0,1.14E-06,3,Patient2,Pigeonpox virus,database exclusion
0,1.90E-06,5,Patient2,Sheeppox virus,database exclusion
0,3.79E-07,1,Patient2,Swinepox virus,database exclusion
0,7.59E-07,2,Patient2,Choristoneura biennis entomopoxvirus,database exclusion
0,1.52E-06,4,Patient2,Macacine alphaherpesvirus 1,database exclusion
0,3.79E-07,1,Patient2,Equid alphaherpesvirus 1,database exclusion
0,3.79E-07,1,Patient2,Suid alphaherpesvirus 1,database exclusion
2.18E-06,9.48E-06,25,Patient2,Human betaherpesvirus 5,database exclusion
0,1.90E-06,5,Patient2,Equid gammaherpesvirus 5,database exclusion
0,3.79E-07,1,Patient2,Saimiriine gammaherpesvirus 2,database exclusion
0,3.79E-07,1,Patient2,Gallid alphaherpesvirus 1,database exclusion
0,3.79E-07,1,Patient2,Gallid alphaherpesvirus 2,database exclusion
0,3.79E-07,1,Patient2,Tupaiid betaherpesvirus 1,database exclusion
0,3.79E-07,1,Patient2,Ovine gammaherpesvirus 2,database exclusion
0,1.90E-06,5,Patient2,Lymantria dispar multiple nucleopolyhedrovirus,database exclusion
0,3.79E-07,1,Patient2,Spodoptera exigua multiple nucleopolyhedrovirus,database exclusion
0,7.59E-07,2,Patient2,Agrotis segetum granulovirus,database exclusion
0,7.59E-07,2,Patient2,Frog virus 3,database exclusion
0,3.79E-07,1,Patient2,African swine fever virus,database exclusion
0,1.14E-06,3,Patient2,unidentified adenovirus,database exclusion
9.99E-06,3.41E-06,9,Patient2,Human papillomavirus type 4,database exclusion
0,3.79E-07,1,Patient2,Salmonella virus PRD1,database exclusion
0,3.41E-06,9,Patient2,Enterobacteria phage T4,database exclusion
0,3.03E-06,8,Patient2,Streptomyces phage VWB,database exclusion
0,1.14E-06,3,Patient2,Rhizobium phage 16-3,database exclusion
0,1.14E-06,3,Patient2,Streptococcus phage Cp-1,database exclusion
0,1.14E-06,3,Patient2,Escherichia phage N4,database exclusion
0.996686,0.475122167,1252690,Patient2,Human parvovirus B19,database exclusion
0,3.79E-07,1,Patient2,Rice dwarf virus,database exclusion
0,3.79E-07,1,Patient2,Bovine ephemeral fever virus,database exclusion
0,3.79E-07,1,Patient2,Punta Toro virus,database exclusion
0,1.90E-06,5,Patient2,Human immunodeficiency virus 1,database exclusion
0,1.14E-06,3,Patient2,Baboon endogenous virus strain M7,database exclusion
0,1.14E-06,3,Patient2,Mason-Pfizer monkey virus,database exclusion
0,1.52E-06,4,Patient2,Rous sarcoma virus,database exclusion
0,7.59E-07,2,Patient2,Maize dwarf mosaic virus,database exclusion
0,3.79E-07,1,Patient2,Boolarra virus,database exclusion
0,1.52E-06,4,Patient2,Lactococcus phage phiLC3,database exclusion
0,3.03E-06,8,Patient2,Streptococcus phage EJ-1,database exclusion
0,3.79E-07,1,Patient2,Ectromelia virus,database exclusion
0,3.79E-07,1,Patient2,Equid gammaherpesvirus 2,database exclusion
0,7.96E-06,21,Patient2,Dactylococcopsis salina,database exclusion
1.36E-08,7.21E-06,19,Patient2,Burkholderia mallei,database exclusion
0,8.46E-05,223,Patient2,Bifidobacterium animalis,database exclusion
0,0.000110371,291,Patient2,Corynebacterium flavescens,database exclusion
0,1.90E-05,50,Patient2,Lysinibacillus fusiformis,database exclusion
3.28E-07,3.22E-05,85,Patient2,Staphylococcus lugdunensis,database exclusion
7.13E-06,0.001341139,3536,Patient2,Streptococcus mitis,database exclusion
3.52E-07,1.67E-05,44,Patient2,Lactobacillus curvatus,database exclusion
0,1.44E-05,38,Patient2,Nostoc sp. PCC 7524,database exclusion
0,3.64E-05,96,Patient2,Neisseria weaveri,database exclusion
8.69E-30,0.000171815,453,Patient2,Burkholderia gladioli,database exclusion
1.11E-06,8.08E-05,213,Patient2,Alteromonas macleodii,database exclusion
0,2.09E-05,55,Patient2,Francisella philomiragia,database exclusion
2.19E-07,3.15E-05,83,Patient2,Prevotella intermedia,database exclusion
2.17E-53,1.52E-05,40,Patient2,Cronobacter sakazakii,database exclusion
2.24E-29,8.08E-05,213,Patient2,Salmonella enterica,database exclusion
1.68E-08,8.72E-06,23,Patient2,Yersinia kristensenii,database exclusion
0,2.20E-05,58,Patient2,Vibrio nigripulchritudo,database exclusion
0,8.99E-05,237,Patient2,Cobetia marina,database exclusion
0,3.79E-07,1,Patient2,Cydia pomonella granulovirus,database exclusion
0,3.79E-07,1,Patient2,Murid betaherpesvirus 2,database exclusion
0,3.79E-07,1,Patient2,Amsacta moorei entomopoxvirus,database exclusion
1.16E-07,0.000824558,2174,Patient2,Clavibacter michiganensis,database exclusion
9.99E-07,0.000258291,681,Patient2,Burkholderia pseudomallei,database exclusion
3.20E-08,5.69E-05,150,Patient2,Leptospira alstonii,database exclusion
0,3.79E-07,1,Patient2,Volepox virus,database exclusion
0,4.55E-06,12,Patient2,Campylobacter helveticus,database exclusion
0,1.44E-05,38,Patient2,Mycoplasma bovis,database exclusion
4.74E-08,6.52E-05,172,Patient2,Kluyveromyces lactis,database exclusion
0,2.96E-05,78,Patient2,Clostridium argentinense,database exclusion
0,1.67E-05,44,Patient2,[Clostridium] cellulosi,database exclusion
3.90E-07,1.63E-05,43,Patient2,Staphylococcus saprophyticus,database exclusion
0,4.55E-06,12,Patient2,Synechococcus sp. WH 8103,database exclusion
4.03E-08,2.81E-05,74,Patient2,Methylobacterium zatmanii,database exclusion
9.03E-07,0.000136541,360,Patient2,Acinetobacter haemolyticus,database exclusion
0,4.55E-06,12,Patient2,Moraxella ovis,database exclusion
0,0.000246912,651,Patient2,Rhizobium etli,database exclusion
1.72E-06,0.0001373,362,Patient2,Veillonella parvula,database exclusion
1.46E-07,1.63E-05,43,Patient2,Pectobacterium atrosepticum,database exclusion
1.73E-08,1.37E-05,36,Patient2,Yersinia rohdei,database exclusion
0,2.58E-05,68,Patient2,Yersinia ruckeri,database exclusion
0,3.79E-07,1,Patient2,Borreliella garinii,database exclusion
0,3.03E-05,80,Patient2,Pelobacter acetylenicus,database exclusion
0,3.03E-06,8,Patient2,Mycoplasma canadense,database exclusion
0,4.17E-06,11,Patient2,Mycoplasma canis,database exclusion
0,2.28E-06,6,Patient2,Lactococcus virus c2,database exclusion
7.70E-07,7.59E-07,2,Patient2,Lactococcus phage BK5-T,database exclusion
1.22E-29,0.000661088,1743,Patient2,Amycolatopsis orientalis,database exclusion
2.53E-29,0.000259429,684,Patient2,Achromobacter denitrificans,database exclusion
0,1.14E-05,30,Patient2,Synechococcus sp. WH 7803,database exclusion
0,3.79E-07,1,Patient2,Human betaherpesvirus 6A,database exclusion
0,3.79E-07,1,Patient2,Mushroom bacilliform virus,database exclusion
3.78E-06,0.000569681,1502,Patient2,Cutibacterium avidum,database exclusion
2.72E-07,5.16E-05,136,Patient2,Parvimonas micra,database exclusion
1.43E-07,0.000394832,1041,Patient2,Sphingopyxis macrogoltabida,database exclusion
3.82E-08,5.65E-05,149,Patient2,Pseudomonas viridiflava,database exclusion
0,1.14E-06,3,Patient2,Caviid betaherpesvirus 2,database exclusion
0,3.79E-07,1,Patient2,Nilaparvata lugens reovirus,database exclusion
3.06E-08,0.000240464,634,Patient2,Rathayibacter tritici,database exclusion
1.30E-07,3.03E-05,80,Patient2,Anoxybacillus flavithermus,database exclusion
0,1.40E-05,37,Patient2,Geobacillus thermodenitrificans,database exclusion
0,3.41E-06,9,Patient2,Geobacillus thermoleovorans,database exclusion
1.22E-07,1.78E-05,47,Patient2,Lactobacillus johnsonii,database exclusion
0,4.93E-06,13,Patient2,Rickettsia bellii,database exclusion
0,1.78E-05,47,Patient2,Komagataeibacter europaeus,database exclusion
0,1.90E-06,5,Patient2,Candidatus Liberibacter asiaticus,database exclusion
3.05E-05,0.008294508,21869,Patient2,Moraxella osloensis,database exclusion
3.07E-08,3.00E-05,79,Patient2,Riemerella anatipestifer,database exclusion
1.94E-06,7.59E-07,2,Patient2,Lactococcus phage Tuc2009,database exclusion
0,7.59E-07,2,Patient2,Bovine alphaherpesvirus 5,database exclusion
0,1.90E-06,5,Patient2,Gallid alphaherpesvirus 3,database exclusion
0,5.23E-05,138,Patient2,Simbu orthobunyavirus,database exclusion
0,6.83E-06,18,Patient2,Acholeplasma oculi,database exclusion
1.88E-117,5.61E-05,148,Patient2,Citrobacter amalonaticus,database exclusion
0,5.31E-05,140,Patient2,Haloferax gibbonsii,database exclusion
5.56E-21,9.48E-06,25,Patient2,Corynebacterium kutscheri,database exclusion
5.31E-18,0.000115302,304,Patient2,Rhodovulum sulfidophilum,database exclusion
0,3.79E-07,1,Patient2,Lactococcus virus bIL67,database exclusion
