abundance,pct,reads,sample,Donor,week,tax_name
0.00769863,2.99E-05,160,GW_wk1.fa,Donor 1,week 1,Lactococcus phage Q54
0,2.97E-05,159,GW_wk1.fa,Donor 1,week 1,Dyella thiooxydans
3.74E-15,2.95E-05,158,GW_wk1.fa,Donor 1,week 1,Achromobacter xylosoxidans
0.000464265,2.88E-05,154,GW_wk1.fa,Donor 1,week 1,Lactobacillus delbrueckii
7.68E-05,2.73E-05,146,GW_wk1.fa,Donor 1,week 1,Pantoea agglomerans
0,2.67E-05,143,GW_wk1.fa,Donor 1,week 1,Rhodopseudomonas palustris
5.61E-05,2.65E-05,142,GW_wk1.fa,Donor 1,week 1,Burkholderia contaminans
0,2.52E-05,135,GW_wk1.fa,Donor 1,week 1,Hydrogenophaga sp. RAC07
5.25E-05,2.39E-05,128,GW_wk1.fa,Donor 1,week 1,Pseudomonas stutzeri
0,2.37E-05,127,GW_wk1.fa,Donor 1,week 1,Bradyrhizobium diazoefficiens
0,2.17E-05,116,GW_wk1.fa,Donor 1,week 1,Dyella jiangningensis
2.35E-05,2.08E-05,111,GW_wk1.fa,Donor 1,week 1,Stenotrophomonas maltophilia
6.16E-05,1.98E-05,106,GW_wk1.fa,Donor 1,week 1,Rhodococcus erythropolis
1.72E-05,1.96E-05,105,GW_wk1.fa,Donor 1,week 1,Cytophaga hutchinsonii
9.14E-05,1.93E-05,103,GW_wk1.fa,Donor 1,week 1,Staphylococcus capitis
1.04E-84,1.91E-05,102,GW_wk1.fa,Donor 1,week 1,Streptococcus salivarius
2.24E-05,1.83E-05,98,GW_wk1.fa,Donor 1,week 1,Pseudomonas aeruginosa
0,1.83E-05,98,GW_wk1.fa,Donor 1,week 1,Hydrogenophaga sp. PBC
0,1.81E-05,97,GW_wk1.fa,Donor 1,week 1,Comamonas testosteroni
8.22E-05,1.81E-05,97,GW_wk1.fa,Donor 1,week 1,Moraxella osloensis
0,1.81E-05,97,GW_wk1.fa,Donor 1,week 1,Dyella japonica
0,1.79E-05,96,GW_wk1.fa,Donor 1,week 1,Bradyrhizobium sp. S23321
0,1.51E-05,81,GW_wk1.fa,Donor 1,week 1,Bradyrhizobium japonicum
5.44E-05,1.50E-05,80,GW_wk1.fa,Donor 1,week 1,Kocuria palustris
0,1.50E-05,80,GW_wk1.fa,Donor 1,week 1,Sphingomonas hengshuiensis
0,1.50E-05,80,GW_wk1.fa,Donor 1,week 1,Massilia sp. WG5
0,1.46E-05,78,GW_wk1.fa,Donor 1,week 1,Pseudomonas mendocina
0,1.46E-05,78,GW_wk1.fa,Donor 1,week 1,Bradyrhizobium sp.
5.90E-14,1.42E-05,76,GW_wk1.fa,Donor 1,week 1,Burkholderia cepacia
2.49E-05,1.42E-05,76,GW_wk1.fa,Donor 1,week 1,Methylotenera versatilis
0,1.38E-05,74,GW_wk1.fa,Donor 1,week 1,Comamonadaceae bacterium B1
0.000145042,1.33E-05,71,GW_wk1.fa,Donor 1,week 1,Staphylococcus haemolyticus
0,1.33E-05,71,GW_wk1.fa,Donor 1,week 1,Janthinobacterium sp. 1_2014MBL_MicDiv
0,1.31E-05,70,GW_wk1.fa,Donor 1,week 1,Variovorax sp. PAMC 28711
0,1.29E-05,69,GW_wk1.fa,Donor 1,week 1,Spirosoma radiotolerans
2.27E-05,1.27E-05,68,GW_wk1.fa,Donor 1,week 1,Klebsiella oxytoca
3.75E-05,1.27E-05,68,GW_wk1.fa,Donor 1,week 1,Acinetobacter johnsonii
3.84E-67,1.27E-05,68,GW_wk1.fa,Donor 1,week 1,Alicycliphilus denitrificans
4.55E-05,1.23E-05,66,GW_wk1.fa,Donor 1,week 1,Pseudomonas pseudoalcaligenes
0,1.23E-05,66,GW_wk1.fa,Donor 1,week 1,Kocuria rhizophila
9.36E-89,1.22E-05,65,GW_wk1.fa,Donor 1,week 1,Delftia acidovorans
0,1.22E-05,65,GW_wk1.fa,Donor 1,week 1,Polaromonas naphthalenivorans
1.59E-63,1.20E-05,64,GW_wk1.fa,Donor 1,week 1,Acidovorax sp. RAC01
0,1.16E-05,62,GW_wk1.fa,Donor 1,week 1,Pseudomonas citronellolis
0,1.14E-05,61,GW_wk1.fa,Donor 1,week 1,Brevibacterium linens
0,1.14E-05,61,GW_wk1.fa,Donor 1,week 1,Limnohabitans sp. 63ED37-2
2.15E-05,1.12E-05,60,GW_wk1.fa,Donor 1,week 1,Leuconostoc carnosum
9.83E-64,1.12E-05,60,GW_wk1.fa,Donor 1,week 1,Cupriavidus necator
0,1.10E-05,59,GW_wk1.fa,Donor 1,week 1,Paraburkholderia caribensis
0,1.07E-05,57,GW_wk1.fa,Donor 1,week 1,Burkholderia ubonensis
1.78E-166,1.07E-05,57,GW_wk1.fa,Donor 1,week 1,Streptococcus infantarius
1.62E-05,1.03E-05,55,GW_wk1.fa,Donor 1,week 1,Xanthomonas campestris
0,1.03E-05,55,GW_wk1.fa,Donor 1,week 1,Bradyrhizobium sp. ORS 278
0,1.03E-05,55,GW_wk1.fa,Donor 1,week 1,Collimonas fungivorans
3.12E-06,1.03E-05,55,GW_wk1.fa,Donor 1,week 1,Sphingomonas sanxanigenens
0,1.01E-05,54,GW_wk1.fa,Donor 1,week 1,Mannheimia haemolytica
0,9.91E-06,53,GW_wk1.fa,Donor 1,week 1,Verminephrobacter eiseniae
0,9.53E-06,51,GW_wk1.fa,Donor 1,week 1,Lysobacter gummosus
0,9.35E-06,50,GW_wk1.fa,Donor 1,week 1,Pseudomonas chlororaphis
0,9.35E-06,50,GW_wk1.fa,Donor 1,week 1,Azoarcus sp. KH32C
7.81E-06,9.16E-06,49,GW_wk1.fa,Donor 1,week 1,Burkholderia lata
3.33E-05,8.97E-06,48,GW_wk1.fa,Donor 1,week 1,Acidovorax sp. JS42
0,8.79E-06,47,GW_wk1.fa,Donor 1,week 1,Limnohabitans sp. 103DPR2
2.18E-16,8.60E-06,46,GW_wk1.fa,Donor 1,week 1,Sphingopyxis macrogoltabida
0,8.60E-06,46,GW_wk1.fa,Donor 1,week 1,Acidovorax citrulli
0,8.60E-06,46,GW_wk1.fa,Donor 1,week 1,Polaromonas sp. JS666
0,8.60E-06,46,GW_wk1.fa,Donor 1,week 1,Aromatoleum aromaticum
0,8.41E-06,45,GW_wk1.fa,Donor 1,week 1,Sorangium cellulosum
0,8.41E-06,45,GW_wk1.fa,Donor 1,week 1,Clavibacter michiganensis
1.00E-05,8.41E-06,45,GW_wk1.fa,Donor 1,week 1,Sulfuritalea hydrogenivorans
0,8.41E-06,45,GW_wk1.fa,Donor 1,week 1,Massilia sp. NR 4-1
0.000222249,8.41E-06,45,GW_wk1.fa,Donor 1,week 1,Bacillus sp. ABP14
3.06E-05,8.23E-06,44,GW_wk1.fa,Donor 1,week 1,Lactococcus piscium
3.24E-05,8.23E-06,44,GW_wk1.fa,Donor 1,week 1,Thermus scotoductus
4.94E-06,8.04E-06,43,GW_wk1.fa,Donor 1,week 1,Aeromonas hydrophila
0,8.04E-06,43,GW_wk1.fa,Donor 1,week 1,Thiomonas intermedia
0,8.04E-06,43,GW_wk1.fa,Donor 1,week 1,Cupriavidus gilardii
0,8.04E-06,43,GW_wk1.fa,Donor 1,week 1,Collimonas arenae
2.44E-05,8.04E-06,43,GW_wk1.fa,Donor 1,week 1,Polynucleobacter necessarius
0,8.04E-06,43,GW_wk1.fa,Donor 1,week 1,Elizabethkingia anophelis
0,7.85E-06,42,GW_wk1.fa,Donor 1,week 1,Pseudomonas fragi
0,7.85E-06,42,GW_wk1.fa,Donor 1,week 1,Leifsonia xyli
0.000108319,7.85E-06,42,GW_wk1.fa,Donor 1,week 1,Prevotella melaninogenica
0,7.85E-06,42,GW_wk1.fa,Donor 1,week 1,Pseudomonas knackmussii
0,7.66E-06,41,GW_wk1.fa,Donor 1,week 1,Burkholderia glumae
0.000136884,7.66E-06,41,GW_wk1.fa,Donor 1,week 1,Lactobacillus fermentum
4.78E-05,7.66E-06,41,GW_wk1.fa,Donor 1,week 1,Leclercia adecarboxylata
0,7.66E-06,41,GW_wk1.fa,Donor 1,week 1,Burkholderia multivorans
0,7.66E-06,41,GW_wk1.fa,Donor 1,week 1,Pandoraea norimbergensis
1.29E-05,7.66E-06,41,GW_wk1.fa,Donor 1,week 1,Sphingomonas wittichii
0,7.66E-06,41,GW_wk1.fa,Donor 1,week 1,Comamonadaceae bacterium A1
0,7.66E-06,41,GW_wk1.fa,Donor 1,week 1,Sphingomonas taxi
0,7.48E-06,40,GW_wk1.fa,Donor 1,week 1,Burkholderia gladioli
0,7.48E-06,40,GW_wk1.fa,Donor 1,week 1,Rhodoferax ferrireducens
7.34E-06,7.29E-06,39,GW_wk1.fa,Donor 1,week 1,Azotobacter chroococcum
0,7.29E-06,39,GW_wk1.fa,Donor 1,week 1,Paraburkholderia phymatum
2.14E-14,7.29E-06,39,GW_wk1.fa,Donor 1,week 1,Acidovorax ebreus
0,7.10E-06,38,GW_wk1.fa,Donor 1,week 1,Haemophilus parainfluenzae
0,7.10E-06,38,GW_wk1.fa,Donor 1,week 1,Xanthomonas sacchari
0,7.10E-06,38,GW_wk1.fa,Donor 1,week 1,Acidovorax avenae
0,7.10E-06,38,GW_wk1.fa,Donor 1,week 1,Burkholderia sp. RPE64
0,7.10E-06,38,GW_wk1.fa,Donor 1,week 1,Sphingomonas panacis
8.87E-06,7.10E-06,38,GW_wk1.fa,Donor 1,week 1,Stenotrophomonas sp. LM091
0,6.92E-06,37,GW_wk1.fa,Donor 1,week 1,Rhodobacter sphaeroides
0.000252591,6.92E-06,37,GW_wk1.fa,Donor 1,week 1,Leuconostoc mesenteroides
0,6.92E-06,37,GW_wk1.fa,Donor 1,week 1,Caulobacter vibrioides
0,6.92E-06,37,GW_wk1.fa,Donor 1,week 1,Pseudoxanthomonas spadix
0,6.92E-06,37,GW_wk1.fa,Donor 1,week 1,beta proteobacterium CB
0,6.92E-06,37,GW_wk1.fa,Donor 1,week 1,Ottowia sp. oral taxon 894
3.39E-05,6.73E-06,36,GW_wk1.fa,Donor 1,week 1,Xanthobacter autotrophicus
0,6.73E-06,36,GW_wk1.fa,Donor 1,week 1,Pseudomonas resinovorans
1.03E-17,6.54E-06,35,GW_wk1.fa,Donor 1,week 1,Listeria monocytogenes
6.35E-06,6.54E-06,35,GW_wk1.fa,Donor 1,week 1,Acinetobacter pittii
0,6.54E-06,35,GW_wk1.fa,Donor 1,week 1,Cupriavidus basilensis
1.35E-05,6.54E-06,35,GW_wk1.fa,Donor 1,week 1,Rhodococcus sp. 008
4.47E-05,6.36E-06,34,GW_wk1.fa,Donor 1,week 1,Staphylococcus warneri
1.32E-05,6.36E-06,34,GW_wk1.fa,Donor 1,week 1,Lactobacillus plantarum
0,6.36E-06,34,GW_wk1.fa,Donor 1,week 1,Novosphingobium aromaticivorans
0,6.36E-06,34,GW_wk1.fa,Donor 1,week 1,Sanguibacter keddieii
0,6.36E-06,34,GW_wk1.fa,Donor 1,week 1,Herbaspirillum rubrisubalbicans
8.83E-90,6.17E-06,33,GW_wk1.fa,Donor 1,week 1,Cupriavidus metallidurans
0,6.17E-06,33,GW_wk1.fa,Donor 1,week 1,Pseudomonas sp. CCOS 191
6.60E-06,5.98E-06,32,GW_wk1.fa,Donor 1,week 1,Lactobacillus curvatus
0,5.98E-06,32,GW_wk1.fa,Donor 1,week 1,Stenotrophomonas acidaminiphila
0,5.98E-06,32,GW_wk1.fa,Donor 1,week 1,Pseudomonas antarctica
0,5.98E-06,32,GW_wk1.fa,Donor 1,week 1,Stackebrandtia nassauensis
0,5.98E-06,32,GW_wk1.fa,Donor 1,week 1,Dokdonella koreensis
0,5.98E-06,32,GW_wk1.fa,Donor 1,week 1,Bradyrhizobium sp. CCGE-LA001
0,5.98E-06,32,GW_wk1.fa,Donor 1,week 1,Defluviimonas alba
0,5.98E-06,32,GW_wk1.fa,Donor 1,week 1,Pseudomonas sp. L10.10
0,5.80E-06,31,GW_wk1.fa,Donor 1,week 1,Caulobacter segnis
0,5.80E-06,31,GW_wk1.fa,Donor 1,week 1,Delftia sp. Cs1-4
1.17E-05,5.80E-06,31,GW_wk1.fa,Donor 1,week 1,Pseudomonas sp. TKP
0,5.80E-06,31,GW_wk1.fa,Donor 1,week 1,Bordetella sp. H567
0,5.80E-06,31,GW_wk1.fa,Donor 1,week 1,Microbacterium sp. No. 7
0,5.80E-06,31,GW_wk1.fa,Donor 1,week 1,Brevundimonas sp. GW460-12-10-14-LB2
2.43E-06,5.61E-06,30,GW_wk1.fa,Donor 1,week 1,Klebsiella pneumoniae
0,5.61E-06,30,GW_wk1.fa,Donor 1,week 1,Amycolatopsis orientalis
3.63E-05,5.61E-06,30,GW_wk1.fa,Donor 1,week 1,Sphingomonas melonis
0,5.61E-06,30,GW_wk1.fa,Donor 1,week 1,Paludibacter propionicigenes
0,5.61E-06,30,GW_wk1.fa,Donor 1,week 1,Herbaspirillum hiltneri
0,5.42E-06,29,GW_wk1.fa,Donor 1,week 1,Chromobacterium violaceum
1.36E-05,5.42E-06,29,GW_wk1.fa,Donor 1,week 1,Mycobacterium gilvum
0,5.42E-06,29,GW_wk1.fa,Donor 1,week 1,Streptococcus mitis
0,5.42E-06,29,GW_wk1.fa,Donor 1,week 1,Burkholderia ambifaria
0,5.42E-06,29,GW_wk1.fa,Donor 1,week 1,Corynebacterium kroppenstedtii
0,5.42E-06,29,GW_wk1.fa,Donor 1,week 1,Isoptericola dokdonensis
0,5.42E-06,29,GW_wk1.fa,Donor 1,week 1,Pseudogulbenkiania sp. NH8B
0,5.42E-06,29,GW_wk1.fa,Donor 1,week 1,Paraburkholderia sprentiae
0,5.42E-06,29,GW_wk1.fa,Donor 1,week 1,Burkholderia stagnalis
0,5.23E-06,28,GW_wk1.fa,Donor 1,week 1,Thiobacillus denitrificans
0,5.23E-06,28,GW_wk1.fa,Donor 1,week 1,Erythrobacter litoralis
2.15E-16,5.23E-06,28,GW_wk1.fa,Donor 1,week 1,Burkholderia cenocepacia
0,5.23E-06,28,GW_wk1.fa,Donor 1,week 1,Nocardioides sp. JS614
4.15E-05,5.23E-06,28,GW_wk1.fa,Donor 1,week 1,Devosia sp. H5989
0,5.23E-06,28,GW_wk1.fa,Donor 1,week 1,Chryseobacterium sp. IHB B 17019
0,5.23E-06,28,GW_wk1.fa,Donor 1,week 1,Rhodobacter sp. LPB0142
0,5.05E-06,27,GW_wk1.fa,Donor 1,week 1,Kytococcus sedentarius
0,5.05E-06,27,GW_wk1.fa,Donor 1,week 1,Streptococcus pneumoniae
1.44E-43,5.05E-06,27,GW_wk1.fa,Donor 1,week 1,Bacillus anthracis
8.89E-122,5.05E-06,27,GW_wk1.fa,Donor 1,week 1,Bacillus mycoides
0,5.05E-06,27,GW_wk1.fa,Donor 1,week 1,Clostridioides difficile
0,5.05E-06,27,GW_wk1.fa,Donor 1,week 1,Rhodococcus equi
0,5.05E-06,27,GW_wk1.fa,Donor 1,week 1,Bradyrhizobium oligotrophicum
0,5.05E-06,27,GW_wk1.fa,Donor 1,week 1,Pseudomonas mosselii
0,5.05E-06,27,GW_wk1.fa,Donor 1,week 1,Dechloromonas aromatica
0,5.05E-06,27,GW_wk1.fa,Donor 1,week 1,Rhodoplanes sp. Z2-YC6860
2.98E-05,5.05E-06,27,GW_wk1.fa,Donor 1,week 1,Sphingomonas sp. MM-1
5.00E-37,5.05E-06,27,GW_wk1.fa,Donor 1,week 1,Sphingobium baderi
1.18E-05,5.05E-06,27,GW_wk1.fa,Donor 1,week 1,Methylobacterium sp. C1
0,4.86E-06,26,GW_wk1.fa,Donor 1,week 1,Saccharopolyspora erythraea
0,4.86E-06,26,GW_wk1.fa,Donor 1,week 1,Geodermatophilus obscurus
0,4.86E-06,26,GW_wk1.fa,Donor 1,week 1,Aeromicrobium erythreum
9.77E-06,4.86E-06,26,GW_wk1.fa,Donor 1,week 1,Staphylococcus saprophyticus
0,4.86E-06,26,GW_wk1.fa,Donor 1,week 1,Mycobacterium abscessus
0,4.86E-06,26,GW_wk1.fa,Donor 1,week 1,Lysobacter antibioticus
3.07E-05,4.86E-06,26,GW_wk1.fa,Donor 1,week 1,Streptococcus gallolyticus
0,4.86E-06,26,GW_wk1.fa,Donor 1,week 1,Pandoraea thiooxydans
0,4.86E-06,26,GW_wk1.fa,Donor 1,week 1,Burkholderia sp. CCGE1002
0,4.86E-06,26,GW_wk1.fa,Donor 1,week 1,Pseudomonas sp. FGI182
0,4.86E-06,26,GW_wk1.fa,Donor 1,week 1,Opitutaceae bacterium IG16b
0,4.67E-06,25,GW_wk1.fa,Donor 1,week 1,Clostridium botulinum
0,4.67E-06,25,GW_wk1.fa,Donor 1,week 1,Clostridium tyrobutyricum
0,4.67E-06,25,GW_wk1.fa,Donor 1,week 1,Frankia alni
0,4.67E-06,25,GW_wk1.fa,Donor 1,week 1,Pseudomonas fulva
0,4.67E-06,25,GW_wk1.fa,Donor 1,week 1,Castellaniella defragrans
1.89E-128,4.67E-06,25,GW_wk1.fa,Donor 1,week 1,Cupriavidus pinatubonensis
0,4.67E-06,25,GW_wk1.fa,Donor 1,week 1,Methylobacterium aquaticum
0,4.67E-06,25,GW_wk1.fa,Donor 1,week 1,Altererythrobacter namhicola
7.54E-06,4.67E-06,25,GW_wk1.fa,Donor 1,week 1,Rhodococcus sp. PBTS 2
2.34E-05,4.67E-06,25,GW_wk1.fa,Donor 1,week 1,Enterobacter cloacae complex 'Hoffmann cluster IV'
0,4.49E-06,24,GW_wk1.fa,Donor 1,week 1,Archangium gephyra
0,4.49E-06,24,GW_wk1.fa,Donor 1,week 1,Pectobacterium atrosepticum
0,4.49E-06,24,GW_wk1.fa,Donor 1,week 1,Streptococcus macedonicus
0,4.49E-06,24,GW_wk1.fa,Donor 1,week 1,Mesorhizobium amorphae
0,4.49E-06,24,GW_wk1.fa,Donor 1,week 1,Parascardovia denticolens
0,4.49E-06,24,GW_wk1.fa,Donor 1,week 1,Pandoraea pnomenusa
0,4.49E-06,24,GW_wk1.fa,Donor 1,week 1,Elizabethkingia miricola
0,4.49E-06,24,GW_wk1.fa,Donor 1,week 1,Halotalea alkalilenta
0,4.49E-06,24,GW_wk1.fa,Donor 1,week 1,Bordetella flabilis
3.76E-05,4.49E-06,24,GW_wk1.fa,Donor 1,week 1,Actinomyces oris
0,4.49E-06,24,GW_wk1.fa,Donor 1,week 1,Altererythrobacter atlanticus
0,4.49E-06,24,GW_wk1.fa,Donor 1,week 1,Bosea sp. RAC05
0,4.30E-06,23,GW_wk1.fa,Donor 1,week 1,Porphyrobacter neustonensis
7.42E-17,4.30E-06,23,GW_wk1.fa,Donor 1,week 1,Lactobacillus paracasei
0.00326468,4.30E-06,23,GW_wk1.fa,Donor 1,week 1,Lactococcus phage BK5-T
0,4.30E-06,23,GW_wk1.fa,Donor 1,week 1,Human herpesvirus 6A
0,4.30E-06,23,GW_wk1.fa,Donor 1,week 1,Janthinobacterium agaricidamnosum
0,4.30E-06,23,GW_wk1.fa,Donor 1,week 1,Sideroxydans lithotrophicus
0,4.30E-06,23,GW_wk1.fa,Donor 1,week 1,Bordetella hinzii
0,4.30E-06,23,GW_wk1.fa,Donor 1,week 1,Azospira oryzae
6.48E-06,4.30E-06,23,GW_wk1.fa,Donor 1,week 1,Gordonia sp. KTR9
0.000102115,4.30E-06,23,GW_wk1.fa,Donor 1,week 1,Propionibacterium sp. oral taxon 193
1.07E-26,4.30E-06,23,GW_wk1.fa,Donor 1,week 1,Sphingobium sp. TKS
0,4.30E-06,23,GW_wk1.fa,Donor 1,week 1,Bordetella pseudohinzii
0,4.30E-06,23,GW_wk1.fa,Donor 1,week 1,Arsenicicoccus sp. oral taxon 190
0,4.30E-06,23,GW_wk1.fa,Donor 1,week 1,Hydrogenophaga sp. LPB0072
0,4.30E-06,23,GW_wk1.fa,Donor 1,week 1,Polynucleobacter duraquae
0.00233763,4.30E-06,23,GW_wk1.fa,Donor 1,week 1,Lactococcus phage 28201
0,4.11E-06,22,GW_wk1.fa,Donor 1,week 1,Helicobacter pylori
0,4.11E-06,22,GW_wk1.fa,Donor 1,week 1,Paracoccus denitrificans
0,4.11E-06,22,GW_wk1.fa,Donor 1,week 1,Pseudomonas syringae
4.04E-193,4.11E-06,22,GW_wk1.fa,Donor 1,week 1,Acinetobacter baumannii
0,4.11E-06,22,GW_wk1.fa,Donor 1,week 1,Staphylococcus xylosus
7.21E-06,4.11E-06,22,GW_wk1.fa,Donor 1,week 1,Gordonia bronchialis
0,4.11E-06,22,GW_wk1.fa,Donor 1,week 1,Kitasatospora setae
0,4.11E-06,22,GW_wk1.fa,Donor 1,week 1,Pseudomonas oryzihabitans
0,4.11E-06,22,GW_wk1.fa,Donor 1,week 1,Bordetella petrii
0,4.11E-06,22,GW_wk1.fa,Donor 1,week 1,Pseudomonas koreensis
0,4.11E-06,22,GW_wk1.fa,Donor 1,week 1,Microterricola viridarii
0,4.11E-06,22,GW_wk1.fa,Donor 1,week 1,Nocardioides dokdonensis
0,4.11E-06,22,GW_wk1.fa,Donor 1,week 1,Modestobacter marinus
0,4.11E-06,22,GW_wk1.fa,Donor 1,week 1,Hymenobacter sp. DG5B
0,4.11E-06,22,GW_wk1.fa,Donor 1,week 1,Hymenobacter sp. PAMC 26554
0,4.11E-06,22,GW_wk1.fa,Donor 1,week 1,Burkholderia sp. OLGA172
0,3.93E-06,21,GW_wk1.fa,Donor 1,week 1,Campylobacter coli
0,3.93E-06,21,GW_wk1.fa,Donor 1,week 1,Mesorhizobium loti
6.19E-06,3.93E-06,21,GW_wk1.fa,Donor 1,week 1,Methylobacterium extorquens
0,3.93E-06,21,GW_wk1.fa,Donor 1,week 1,Serratia marcescens
7.48E-27,3.93E-06,21,GW_wk1.fa,Donor 1,week 1,Flavobacterium johnsoniae
0,3.93E-06,21,GW_wk1.fa,Donor 1,week 1,Bacillus pumilus
0,3.93E-06,21,GW_wk1.fa,Donor 1,week 1,Sporosarcina psychrophila
0,3.93E-06,21,GW_wk1.fa,Donor 1,week 1,Staphylococcus pasteuri
0,3.93E-06,21,GW_wk1.fa,Donor 1,week 1,Burkholderia thailandensis
0,3.93E-06,21,GW_wk1.fa,Donor 1,week 1,Frankia casuarinae
0,3.93E-06,21,GW_wk1.fa,Donor 1,week 1,Paraburkholderia fungorum
0,3.93E-06,21,GW_wk1.fa,Donor 1,week 1,Pseudomonas parafulva
0,3.93E-06,21,GW_wk1.fa,Donor 1,week 1,Sphingopyxis sp. 113P3
0,3.93E-06,21,GW_wk1.fa,Donor 1,week 1,Streptomyces xiamenensis
0,3.93E-06,21,GW_wk1.fa,Donor 1,week 1,Paraburkholderia rhizoxinica
0,3.93E-06,21,GW_wk1.fa,Donor 1,week 1,Agromyces sp. AR33
0,3.93E-06,21,GW_wk1.fa,Donor 1,week 1,Pseudomonas sp. GR 6-02
0.00147634,3.93E-06,21,GW_wk1.fa,Donor 1,week 1,Shigella sp. PAMC 28760
0,3.93E-06,21,GW_wk1.fa,Donor 1,week 1,Pseudomonas sp. TCU-HL1
0,3.74E-06,20,GW_wk1.fa,Donor 1,week 1,Myxococcus xanthus
2.97E-05,3.74E-06,20,GW_wk1.fa,Donor 1,week 1,Enterobacter cloacae
0,3.74E-06,20,GW_wk1.fa,Donor 1,week 1,Rhodococcus fascians
0,3.74E-06,20,GW_wk1.fa,Donor 1,week 1,Thermomonospora curvata
0,3.74E-06,20,GW_wk1.fa,Donor 1,week 1,Burkholderia pseudomallei
6.95E-06,3.74E-06,20,GW_wk1.fa,Donor 1,week 1,Delftia tsuruhatensis
0,3.74E-06,20,GW_wk1.fa,Donor 1,week 1,Rhodococcus sp. PBTS 1
0,3.74E-06,20,GW_wk1.fa,Donor 1,week 1,Sphingobium sp. RAC03
0,3.55E-06,19,GW_wk1.fa,Donor 1,week 1,Xanthomonas oryzae
0,3.55E-06,19,GW_wk1.fa,Donor 1,week 1,Rhizobium leguminosarum
0,3.55E-06,19,GW_wk1.fa,Donor 1,week 1,Herbaspirillum seropedicae
0,3.55E-06,19,GW_wk1.fa,Donor 1,week 1,Actinoplanes sp. SE50/110
0,3.55E-06,19,GW_wk1.fa,Donor 1,week 1,Bradyrhizobium sp. BTAi1
0,3.55E-06,19,GW_wk1.fa,Donor 1,week 1,Pseudomonas entomophila
0,3.55E-06,19,GW_wk1.fa,Donor 1,week 1,Caulobacter sp. K31
0,3.55E-06,19,GW_wk1.fa,Donor 1,week 1,Burkholderia sp. CCGE1003
0,3.55E-06,19,GW_wk1.fa,Donor 1,week 1,Tannerella sp. oral taxon HOT-286
