abundance,pct,reads,sample,Patient,Day,tax_name
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Streptococcus gordonii
0.000966163,2.15E-06,7,pt1_day1.bam-centrifuge_report,Patient1,1,Streptococcus oralis
0,9.23E-07,3,pt1_day1.bam-centrifuge_report,Patient1,1,Streptococcus salivarius
0,6.15E-07,2,pt1_day1.bam-centrifuge_report,Patient1,1,Streptococcus agalactiae
0,2.77E-06,9,pt1_day1.bam-centrifuge_report,Patient1,1,Streptococcus pneumoniae
0,6.77E-06,22,pt1_day1.bam-centrifuge_report,Patient1,1,Streptococcus parasanguinis
0,9.23E-07,3,pt1_day1.bam-centrifuge_report,Patient1,1,Streptococcus anginosus
1.76E-15,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Streptococcus intermedius
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Enterococcus faecium
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Lactococcus lactis
0,9.23E-07,3,pt1_day1.bam-centrifuge_report,Patient1,1,Bacillus cereus
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Bacillus megaterium
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Paenibacillus polymyxa
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Bacillus pumilus
0,9.23E-07,3,pt1_day1.bam-centrifuge_report,Patient1,1,Bacillus subtilis
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Bacillus thuringiensis
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Brevibacillus laterosporus
0,1.54E-06,5,pt1_day1.bam-centrifuge_report,Patient1,1,Clostridium botulinum
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Clostridium pasteurianum
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Clostridium perfringens
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,[Clostridium] stercorarium
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Clostridium tyrobutyricum
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Clostridium beijerinckii
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Clostridium novyi
0,6.15E-07,2,pt1_day1.bam-centrifuge_report,Patient1,1,Clostridium scatologenes
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Clostridium baratii
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Lactobacillus acetotolerans
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Lactobacillus amylovorus
0,8.21E-05,267,pt1_day1.bam-centrifuge_report,Patient1,1,Corynebacterium pseudotuberculosis
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Eubacterium limosum
0.000562989,1.54E-06,5,pt1_day1.bam-centrifuge_report,Patient1,1,Propionibacterium acnes
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Frankia alni
0,9.23E-07,3,pt1_day1.bam-centrifuge_report,Patient1,1,Rothia dentocariosa
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Mycoplasma arginini
0,6.15E-07,2,pt1_day1.bam-centrifuge_report,Patient1,1,Methanosarcina mazei
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Methanosarcina acetivorans
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Sulfolobus acidocaldarius
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Sulfolobus solfataricus
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Methanohalobium evestigatum
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Haliscomenobacter hydrossis
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Thermosipho africanus
0.357803,0.99622823,3238996,pt1_day1.bam-centrifuge_report,Patient1,1,Homo sapiens
0,3.69E-06,12,pt1_day1.bam-centrifuge_report,Patient1,1,Streptococcus mitis
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Nostoc sp. PCC 7524
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Neisseria weaveri
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Francisella philomiragia
0,1.54E-06,5,pt1_day1.bam-centrifuge_report,Patient1,1,Tannerella forsythia
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Bacteroides ovatus
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Odoribacter splanchnicus
0,6.15E-07,2,pt1_day1.bam-centrifuge_report,Patient1,1,Prevotella denticola
0.0005973,4.92E-06,16,pt1_day1.bam-centrifuge_report,Patient1,1,Prevotella melaninogenica
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Colwellia psychrerythraea
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Thermodesulfovibrio yellowstonii
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Salmonella enterica
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Mycoplasma bovis
0,5.54E-06,18,pt1_day1.bam-centrifuge_report,Patient1,1,Veillonella parvula
0,0.001819295,5915,pt1_day1.bam-centrifuge_report,Patient1,1,Taylorella equigenitalis
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Synechococcus elongatus
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Calothrix parietina
0.00416383,0.001711337,5564,pt1_day1.bam-centrifuge_report,Patient1,1,synthetic construct
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Acetobacterium woodii
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Riemerella anatipestifer
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Citrobacter amalonaticus
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Rhodovulum sulfidophilum
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Acholeplasma palmae
0,6.15E-07,2,pt1_day1.bam-centrifuge_report,Patient1,1,Dialister pneumosintes
0,6.15E-07,2,pt1_day1.bam-centrifuge_report,Patient1,1,Cyanothece sp. PCC 8801
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Pseudoalteromonas luteoviolacea
0,6.15E-07,2,pt1_day1.bam-centrifuge_report,Patient1,1,Brachybacterium faecium
0.000830495,1.54E-05,50,pt1_day1.bam-centrifuge_report,Patient1,1,Rothia mucilaginosa
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Bibersteinia trehalosi
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Prevotella dentalis
0,2.77E-06,9,pt1_day1.bam-centrifuge_report,Patient1,1,Actinomyces meyeri
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Enterococcus mundtii
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Pseudomonas citronellolis
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Edwardsiella ictaluri
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Methanocaldococcus vulcanius
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Campylobacter hominis
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Solibacillus silvestris
0.00290533,3.08E-06,10,pt1_day1.bam-centrifuge_report,Patient1,1,Streptococcus constellatus
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Wolbachia endosymbiont of Drosophila simulans
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Chitinophaga pinensis
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Parachlamydia acanthamoebae
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Brachyspira murdochii
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Burkholderia multivorans
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Flavobacterium psychrophilum
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Halobacteriovorax marinus
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Calothrix sp. PCC 7507
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Burkholderia ubonensis
0,6.15E-07,2,pt1_day1.bam-centrifuge_report,Patient1,1,Muricauda ruestringensis
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Aerococcus sanguinicola
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Paraburkholderia fungorum
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Alcelaphine herpesvirus 2
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Corynebacterium imitans
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Corynebacterium singulare
0.586238,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Human endogenous retrovirus K113
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Ilyobacter polytropus
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Oceanobacillus iheyensis
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Fluviicola taffensis
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Deferribacter desulfuricans
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Candidatus Pelagibacter ubique
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Carnobacterium sp. 17-4
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Spiroplasma diminutum
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Helicobacter sp. MIT 01-6242
0,6.15E-07,2,pt1_day1.bam-centrifuge_report,Patient1,1,Corynebacterium halotolerans
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Glutamicibacter arilaitensis
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Streptococcus pseudopneumoniae
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Nostoc punctiforme
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Flavobacterium indicum
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Polaribacter sp. MED152
0,6.15E-07,2,pt1_day1.bam-centrifuge_report,Patient1,1,Cyclobacterium amurskyense
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Psychromonas ingrahamii
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Sulfurovum sp. NBC37-1
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Clostridium taeniosporum
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Treponema pedis
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Gramella forsetii
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Cronobacter malonaticus
0,6.15E-07,2,pt1_day1.bam-centrifuge_report,Patient1,1,Methanosarcina horonobensis
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Pedobacter steynii
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Pelosinus sp. UFO1
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Bacillus velezensis
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Actinomyces oris
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Phycisphaera mikurensis
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Acidianus hospitalis
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Allofrancisella guangzhouensis
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Francisella noatunensis
0,1.23E-06,4,pt1_day1.bam-centrifuge_report,Patient1,1,Streptococcus sp. oral taxon 431
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Caldicellulosiruptor obsidiansis
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Hyphomicrobium sp. MC1
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,alpha proteobacterium HIMB59
0,6.15E-07,2,pt1_day1.bam-centrifuge_report,Patient1,1,Siansivirga zeaxanthinifaciens
0,6.15E-07,2,pt1_day1.bam-centrifuge_report,Patient1,1,Chryseobacterium sp. StRB126
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Candidatus Arthromitus sp. SFB-rat-Yit
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Candidatus Gullanella endobia
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Bacillus virus G
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Streptococcus sp. I-P16
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Streptomyces sp. PAMC 26508
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Frischella perrara
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Invertebrate iridovirus 25
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Methanocaldococcus bathoardescens
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Flavobacterium sp. PK15
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Bartonella ancashensis
0,6.15E-07,2,pt1_day1.bam-centrifuge_report,Patient1,1,Candidatus Methanomassiliicoccus intestinalis
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Candidatus Thioglobus singularis
0.0451963,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Pseudomonas phage phi2
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Sediminicola sp. YIK13
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Paenibacillus yonginensis
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Nonlabens sp. MIC269
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Campylobacter sp. RM16704
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Jeotgalibacillus malaysiensis
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Fusobacterium hwasookii
0,9.23E-07,3,pt1_day1.bam-centrifuge_report,Patient1,1,Chryseobacterium sp. IHB B 10212
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Microbacterium sp. CGR1
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Algibacter alginolytica
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Nostoc sp. NIES-3756
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Wenyingzhuangia fucanilytica
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Streptococcus halotolerans
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Lachnoclostridium sp. YL32
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Ruminiclostridium sp. KB18
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Agrobacterium sp. RAC06
0,3.08E-07,1,pt1_day1.bam-centrifuge_report,Patient1,1,Microbacterium sp. BH3-3-3
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Isosphaera pallida
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Borreliella burgdorferi
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Treponema denticola
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Leptospira biflexa
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Campylobacter jejuni
0,4.85E-07,3,pt1_day3.bam-centrifuge_report,Patient1,3,Helicobacter pylori
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Helicobacter acinonychis
0.000404454,1.11E-05,69,pt1_day3.bam-centrifuge_report,Patient1,3,Pseudomonas aeruginosa
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Pseudomonas putida
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Ralstonia pickettii
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Agrobacterium tumefaciens
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Legionella pneumophila
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Legionella hackeliae
6.45E-41,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Acinetobacter baumannii
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Moraxella catarrhalis
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Neisseria lactamica
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Chromobacterium violaceum
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Citrobacter koseri
0,3.23E-07,2,pt1_day3.bam-centrifuge_report,Patient1,3,Citrobacter freundii
0.00117766,2.42E-05,150,pt1_day3.bam-centrifuge_report,Patient1,3,Klebsiella arogenes
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Enterobacter cloacae
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Erwinia amylovora
0,1.13E-06,7,pt1_day3.bam-centrifuge_report,Patient1,3,Escherichia coli
0.000119149,2.26E-06,14,pt1_day3.bam-centrifuge_report,Patient1,3,Klebsiella pneumoniae
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Morganella morganii
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Xenorhabdus nematophila
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Vibrio cholerae
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Vibrio vulnificus
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Vibrio natriegens
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Aggregatibacter actinomycetemcomitans
0,8.08E-07,5,pt1_day3.bam-centrifuge_report,Patient1,3,Haemophilus influenzae
0,2.58E-06,16,pt1_day3.bam-centrifuge_report,Patient1,3,Haemophilus parainfluenzae
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Histophilus somni
0,3.23E-07,2,pt1_day3.bam-centrifuge_report,Patient1,3,Orientia tsutsugamushi
0.00077386,5.82E-06,36,pt1_day3.bam-centrifuge_report,Patient1,3,Bacteroides fragilis
0,3.23E-07,2,pt1_day3.bam-centrifuge_report,Patient1,3,Parabacteroides distasonis
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Sebaldella termitidis
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Campylobacter ureolyticus
0.000616124,6.78E-06,42,pt1_day3.bam-centrifuge_report,Patient1,3,Fusobacterium nucleatum
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Ehrlichia chaffeensis
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Herbaspirillum seropedicae
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Cellulophaga lytica
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Pedobacter heparinus
0,4.85E-07,3,pt1_day3.bam-centrifuge_report,Patient1,3,Flavobacterium johnsoniae
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Flavobacterium columnare
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Weeksella virosa
0,3.23E-07,2,pt1_day3.bam-centrifuge_report,Patient1,3,Trichodesmium erythraeum
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Prochlorococcus marinus
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Finegoldia magna
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Micrococcus luteus
0.0183182,0.000155394,962,pt1_day3.bam-centrifuge_report,Patient1,3,Staphylococcus aureus
3.70E-13,4.85E-07,3,pt1_day3.bam-centrifuge_report,Patient1,3,Staphylococcus epidermidis
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Staphylococcus xylosus
0.000243728,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Staphylococcus warneri
1.61E-29,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Staphylococcus schleiferi
0,3.23E-07,2,pt1_day3.bam-centrifuge_report,Patient1,3,Streptococcus oralis
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Streptococcus agalactiae
0,3.23E-07,2,pt1_day3.bam-centrifuge_report,Patient1,3,Streptococcus pneumoniae
0,4.85E-07,3,pt1_day3.bam-centrifuge_report,Patient1,3,Streptococcus parasanguinis
0,3.23E-07,2,pt1_day3.bam-centrifuge_report,Patient1,3,Streptococcus anginosus
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Streptococcus dysgalactiae
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Streptococcus intermedius
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Lactococcus piscium
0,3.23E-07,2,pt1_day3.bam-centrifuge_report,Patient1,3,Bacillus cereus
0,4.85E-07,3,pt1_day3.bam-centrifuge_report,Patient1,3,Bacillus megaterium
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Paenibacillus polymyxa
0,3.23E-07,2,pt1_day3.bam-centrifuge_report,Patient1,3,Bacillus pumilus
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Parageobacillus thermoglucosidans
0,8.08E-07,5,pt1_day3.bam-centrifuge_report,Patient1,3,Bacillus thuringiensis
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Sporosarcina psychrophila
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Clostridium acetobutylicum
0,6.46E-07,4,pt1_day3.bam-centrifuge_report,Patient1,3,Clostridium botulinum
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Clostridium butyricum
0,8.08E-07,5,pt1_day3.bam-centrifuge_report,Patient1,3,Clostridioides difficile
0,6.46E-07,4,pt1_day3.bam-centrifuge_report,Patient1,3,Clostridium pasteurianum
0,3.23E-07,2,pt1_day3.bam-centrifuge_report,Patient1,3,Clostridium perfringens
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,[Clostridium] stercorarium
0,3.23E-07,2,pt1_day3.bam-centrifuge_report,Patient1,3,Clostridium tetani
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Clostridium beijerinckii
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Clostridium novyi
0,1.62E-07,1,pt1_day3.bam-centrifuge_report,Patient1,3,Lactobacillus brevis
