abundance,pct,reads,sample,sample,tax_name,tool
3.11E-15,9.08E-05,50,E. coli - S. sonnei,0.1/99.9,Pantoea sp. PSNIH2,centrifuge
2.83E-15,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Dickeya zeae,centrifuge
1.57E-15,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Dickeya solani,centrifuge
1.10E-15,1.27E-05,7,E. coli - S. sonnei,0.1/99.9,Pantoea sp. PSNIH1,centrifuge
7.36E-16,9.08E-06,5,E. coli - S. sonnei,0.1/99.9,Serratia sp. SCBI,centrifuge
7.05E-16,1.27E-05,7,E. coli - S. sonnei,0.1/99.9,Serratia plymuthica,centrifuge
2.85E-16,1.63E-05,9,E. coli - S. sonnei,0.1/99.9,secondary endosymbiont of Heteropsylla cubana,centrifuge
1.50E-16,2.18E-05,12,E. coli - S. sonnei,0.1/99.9,Cedecea neteri,centrifuge
1.39E-16,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Xenorhabdus bovienii,centrifuge
1.07E-16,4.18E-05,23,E. coli - S. sonnei,0.1/99.9,Citrobacter rodentium,centrifuge
1.98E-17,7.27E-06,4,E. coli - S. sonnei,0.1/99.9,Pantoea agglomerans,centrifuge
1.63E-17,9.08E-06,5,E. coli - S. sonnei,0.1/99.9,Edwardsiella tarda,centrifuge
8.39E-18,4.36E-05,24,E. coli - S. sonnei,0.1/99.9,Enterobacter asburiae,centrifuge
5.54E-18,1.27E-05,7,E. coli - S. sonnei,0.1/99.9,Mucilaginibacter sp. PAMC 26640,centrifuge
2.65E-18,5.45E-06,3,E. coli - S. sonnei,0.1/99.9,Pectobacterium wasabiae,centrifuge
1.89E-18,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Shigella phage SfIV,centrifuge
5.61E-19,5.45E-06,3,E. coli - S. sonnei,0.1/99.9,Shigella phage Sf6,centrifuge
8.63E-20,5.45E-06,3,E. coli - S. sonnei,0.1/99.9,Erwinia tasmaniensis,centrifuge
8.45E-20,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Erwinia pyrifoliae,centrifuge
2.79E-23,2.54E-05,14,E. coli - S. sonnei,0.1/99.9,Enterobacteria phage SfV,centrifuge
9.20E-24,4.36E-05,24,E. coli - S. sonnei,0.1/99.9,Escherichia phage TL-2011b,centrifuge
2.05E-24,1.09E-05,6,E. coli - S. sonnei,0.1/99.9,Enterobacterial phage mEp234,centrifuge
5.49E-31,7.27E-06,4,E. coli - S. sonnei,0.1/99.9,Stx2-converting phage 1717,centrifuge
4.65E-31,9.08E-06,5,E. coli - S. sonnei,0.1/99.9,Enterobacteria phage phiP27,centrifuge
2.24E-37,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Pantoea ananatis,centrifuge
3.28E-40,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Pantoea sp. At-9b,centrifuge
5.91E-44,5.45E-06,3,E. coli - S. sonnei,0.1/99.9,Morganella morganii,centrifuge
9.93E-45,5.45E-06,3,E. coli - S. sonnei,0.1/99.9,Citrobacter sp. FDAARGOS_156,centrifuge
3.20E-45,1.09E-05,6,E. coli - S. sonnei,0.1/99.9,Shimwellia blattae,centrifuge
2.08E-45,5.45E-06,3,E. coli - S. sonnei,0.1/99.9,Enterobacter sp. 638,centrifuge
2.00E-45,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Cronobacter universalis,centrifuge
1.12E-45,1.45E-05,8,E. coli - S. sonnei,0.1/99.9,Plautia stali symbiont,centrifuge
1.09E-45,9.08E-06,5,E. coli - S. sonnei,0.1/99.9,Cronobacter muytjensii,centrifuge
5.00E-46,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Enterobacter cloacae complex 'Hoffmann cluster III',centrifuge
4.94E-46,9.08E-06,5,E. coli - S. sonnei,0.1/99.9,Lelliottia amnigena,centrifuge
4.87E-46,9.08E-06,5,E. coli - S. sonnei,0.1/99.9,Enterobacter kobei,centrifuge
4.06E-46,5.45E-06,3,E. coli - S. sonnei,0.1/99.9,Edwardsiella hoshinae,centrifuge
3.66E-46,9.08E-06,5,E. coli - S. sonnei,0.1/99.9,Enterobacter xiangfangensis,centrifuge
3.44E-46,1.63E-05,9,E. coli - S. sonnei,0.1/99.9,Leclercia adecarboxylata,centrifuge
3.06E-46,1.45E-05,8,E. coli - S. sonnei,0.1/99.9,Enterobacter sp. R4-368,centrifuge
2.74E-46,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Cronobacter condimenti,centrifuge
2.54E-46,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Cronobacter malonaticus,centrifuge
1.38E-46,2.72E-05,15,E. coli - S. sonnei,0.1/99.9,Enterobacter cloacae complex sp. 35734,centrifuge
1.30E-46,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Obesumbacterium proteus,centrifuge
7.61E-47,9.08E-06,5,E. coli - S. sonnei,0.1/99.9,Kosakonia sacchari,centrifuge
7.06E-47,5.45E-06,3,E. coli - S. sonnei,0.1/99.9,Erwinia gerundensis,centrifuge
3.79E-47,7.27E-06,4,E. coli - S. sonnei,0.1/99.9,Xenorhabdus doucetiae,centrifuge
2.20E-47,7.27E-06,4,E. coli - S. sonnei,0.1/99.9,Yersinia rohdei,centrifuge
1.64E-47,9.08E-06,5,E. coli - S. sonnei,0.1/99.9,Sodalis glossinidius,centrifuge
1.07E-47,5.45E-06,3,E. coli - S. sonnei,0.1/99.9,Serratia rubidaea,centrifuge
9.35E-48,3.09E-05,17,E. coli - S. sonnei,0.1/99.9,Kosakonia oryzae,centrifuge
3.15E-48,1.63E-05,9,E. coli - S. sonnei,0.1/99.9,Cronobacter sakazakii,centrifuge
2.31E-48,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Yersinia similis,centrifuge
7.11E-49,9.08E-06,5,E. coli - S. sonnei,0.1/99.9,Photorhabdus asymbiotica,centrifuge
1.85E-49,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Serratia proteamaculans,centrifuge
1.26E-49,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Erwinia billingiae,centrifuge
6.12E-50,5.45E-06,3,E. coli - S. sonnei,0.1/99.9,Chania multitudinisentens,centrifuge
3.00E-51,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Hafnia alvei,centrifuge
1.79E-52,1.27E-05,7,E. coli - S. sonnei,0.1/99.9,[Enterobacter] aerogenes,centrifuge
5.77E-53,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Yersinia pseudotuberculosis,centrifuge
5.19E-53,4.18E-05,23,E. coli - S. sonnei,0.1/99.9,Serratia marcescens,centrifuge
1.04E-55,4.54E-05,25,E. coli - S. sonnei,0.1/99.9,Raoultella ornithinolytica,centrifuge
6.23E-57,9.08E-06,5,E. coli - S. sonnei,0.1/99.9,Serratia fonticola,centrifuge
1.49E-77,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Photobacterium profundum,centrifuge
0,9.08E-06,5,E. coli - S. sonnei,0.1/99.9,Buchnera aphidicola,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Cellulomonas gilvus,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Pirellula staleyi,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Azospirillum brasilense,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Pseudomonas aeruginosa,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Burkholderia cepacia,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Pseudomonas fragi,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Sinorhizobium fredii,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Methylobacillus flagellatus,centrifuge
0,1.82E-05,10,E. coli - S. sonnei,0.1/99.9,Acinetobacter baumannii,centrifuge
0,7.27E-06,4,E. coli - S. sonnei,0.1/99.9,Neisseria elongata,centrifuge
0,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Erwinia amylovora,centrifuge
0,2.72E-05,15,E. coli - S. sonnei,0.1/99.9,Proteus mirabilis,centrifuge
0,9.08E-06,5,E. coli - S. sonnei,0.1/99.9,Providencia stuartii,centrifuge
0,0.004519717,2488,E. coli - S. sonnei,0.1/99.9,Shigella sonnei,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Xenorhabdus nematophila,centrifuge
0,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Yersinia intermedia,centrifuge
0,7.27E-06,4,E. coli - S. sonnei,0.1/99.9,Aeromonas hydrophila,centrifuge
0,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Aeromonas media,centrifuge
0,5.45E-06,3,E. coli - S. sonnei,0.1/99.9,Vibrio cholerae,centrifuge
0,7.27E-06,4,E. coli - S. sonnei,0.1/99.9,Vibrio parahaemolyticus,centrifuge
0,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Vibrio vulnificus,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Grimontia hollisae,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Vibrio mimicus,centrifuge
0,5.45E-06,3,E. coli - S. sonnei,0.1/99.9,Vibrio campbellii,centrifuge
0,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Vibrio natriegens,centrifuge
0,5.45E-06,3,E. coli - S. sonnei,0.1/99.9,Aggregatibacter actinomycetemcomitans,centrifuge
0,5.45E-06,3,E. coli - S. sonnei,0.1/99.9,[Haemophilus] ducreyi,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,[Haemophilus] parasuis,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Desulfovibrio vulgaris,centrifuge
0,1.09E-05,6,E. coli - S. sonnei,0.1/99.9,Nitrosomonas eutropha,centrifuge
0,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Saprospira grandis,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Allochromatium vinosum,centrifuge
0,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Piscirickettsia salmonis,centrifuge
0,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Streptococcus anginosus,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Bacillus megaterium,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Lysinibacillus sphaericus,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Bacillus subtilis,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Renibacterium salmoninarum,centrifuge
0,9.08E-06,5,E. coli - S. sonnei,0.1/99.9,Corynebacterium pseudotuberculosis,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Gordonia bronchialis,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Mycoplasma mycoides,centrifuge
0,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Methanosarcina barkeri,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Haliscomenobacter hydrossis,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Xylella fastidiosa,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Halomonas elongata,centrifuge
0,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Vibrio nigripulchritudo,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Burkholderia pseudomallei,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Legionella oakridgensis,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Rhizobium etli,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Pectobacterium atrosepticum,centrifuge
0,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Yersinia aldovae,centrifuge
0,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Yersinia frederiksenii,centrifuge
0,1.27E-05,7,E. coli - S. sonnei,0.1/99.9,Yersinia ruckeri,centrifuge
0,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Photorhabdus luminescens,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Vibrio furnissii,centrifuge
0,4.36E-05,24,E. coli - S. sonnei,0.1/99.9,Taylorella equigenitalis,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Geobacillus thermodenitrificans,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Melissococcus plutonius,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Paracoccus aminophilus,centrifuge
0,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Rahnella aquatilis,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Heliobacterium modesticaldum,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Haloferax gibbonsii,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Methanosarcina siciliae,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Aliivibrio salmonicida,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Kutzneria albida,centrifuge
0,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Ferrimonas balearica,centrifuge
0,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Bibersteinia trehalosi,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Pseudomonas oryzihabitans,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Lactobacillus gallinarum,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Pseudomonas citronellolis,centrifuge
0,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Xanthomonas sacchari,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Burkholderia thailandensis,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Dehalococcoides mccartyi,centrifuge
0,9.08E-06,5,E. coli - S. sonnei,0.1/99.9,Shewanella baltica,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Lachnoclostridium phytofermentans,centrifuge
0,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Edwardsiella ictaluri,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Mesorhizobium amorphae,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Solibacillus silvestris,centrifuge
0,9.08E-06,5,E. coli - S. sonnei,0.1/99.9,Pragia fontium,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Aminobacter aminovorans,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,[Clostridium] saccharolyticum,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Mannheimia varigena,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Saccharophagus degradans,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Candidatus Portiera aleyrodidarum,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Ketogulonicigenium vulgare,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Burkholderia cenocepacia,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Flavobacterium psychrophilum,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Burkholderia ubonensis,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Sulfuricurvum kujiense,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Vibrio antiquarius,centrifuge
0,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Nitrosomonas sp. AL212,centrifuge
0,5.45E-06,3,E. coli - S. sonnei,0.1/99.9,[Mannheimia] succiniciproducens,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Hahella chejuensis,centrifuge
0,1.09E-05,6,E. coli - S. sonnei,0.1/99.9,Laribacter hongkongensis,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Pseudothermotoga lettingae,centrifuge
0,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Thermodesulfobium narugense,centrifuge
0,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Rhodoferax ferrireducens,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Pseudomonas koreensis,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Thalassospira xiamenensis,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Pseudoalteromonas sp. SM9913,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Candidatus Blochmannia chromaiodes,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Paraburkholderia phenoliruptrix,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Desulfatibacillum alkenivorans,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Yersinia aleksiciae,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Methylobacterium aquaticum,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Methylomicrobium alcaliphilum,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Pseudoalteromonas sp. Bsw20308,centrifuge
0,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Jannaschia sp. CCS1,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Sulfurihydrogenibium azorense,centrifuge
0,2.18E-05,12,E. coli - S. sonnei,0.1/99.9,Alteromonas mediterranea,centrifuge
0,5.45E-06,3,E. coli - S. sonnei,0.1/99.9,Sulfurospirillum cavolei,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Halotalea alkalilenta,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Shewanella piezotolerans,centrifuge
0,1.27E-05,7,E. coli - S. sonnei,0.1/99.9,Paraburkholderia rhizoxinica,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Pedobacter steynii,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Deinococcus peraridilitoris,centrifuge
0,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Simiduia agarivorans,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Chloracidobacterium thermophilum,centrifuge
0,5.45E-06,3,E. coli - S. sonnei,0.1/99.9,Photorhabdus temperata,centrifuge
0,1.45E-05,8,E. coli - S. sonnei,0.1/99.9,Alteromonas australica,centrifuge
0,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Methylacidiphilum fumariolicum,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Sphingobium sp. SYK-6,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Sulfuritalea hydrogenivorans,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Hydrogenophaga sp. PBC,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Kibdelosporangium phytohabitans,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Glaciecola sp. 4H-3-7+YE-5,centrifuge
0,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Candidatus Moranella endobia,centrifuge
0,1.63E-05,9,E. coli - S. sonnei,0.1/99.9,Candidatus Gullanella endobia,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Leptolyngbya sp. O-77,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Enterobacteria phage HK140,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Microcoleus sp. PCC 7113,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Flammeovirga sp. MY04,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,secondary endosymbiont of Ctenarytaina eucalypti,centrifuge
0,7.27E-06,4,E. coli - S. sonnei,0.1/99.9,Candidatus Pantoea carbekii,centrifuge
0,5.45E-06,3,E. coli - S. sonnei,0.1/99.9,Sodalis praecaptivus,centrifuge
0,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Candidatus Endolissoclinum faulkneri,centrifuge
0,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Magnetospira sp. QH-2,centrifuge
0,9.08E-06,5,E. coli - S. sonnei,0.1/99.9,Photobacterium gaetbulicola,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Serratia sp. FS14,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Dyella jiangningensis,centrifuge
0,1.45E-05,8,E. coli - S. sonnei,0.1/99.9,Candidatus Tachikawaea gelatinosa,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Zhongshania aliphaticivorans,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Candidatus Evansia muelleri,centrifuge
0,7.27E-06,4,E. coli - S. sonnei,0.1/99.9,Pseudomonas sp. Os17,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Halomonas sp. KO116,centrifuge
0,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Bacillus sp. X1(2014),centrifuge
0,3.63E-06,2,E. coli - S. sonnei,0.1/99.9,Edwardsiella sp. EA181011,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Enterobacteria phage JenK1,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Mitsuaria sp. 7,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Methylophilus sp. TWE2,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Magnetospirillum sp. XM-1,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Massilia sp. NR 4-1,centrifuge
0,1.82E-06,1,E. coli - S. sonnei,0.1/99.9,Bordetella sp. H567,centrifuge
