pct,reads,Experiment,mixture,tax_id,tax_name
0.000148007,210,E. coli - S. sonnei,0.1/99.9,548,Klebsiella aerogenes
6.34E-05,90,E. coli - S. sonnei,0.1/99.9,571,Klebsiella oxytoca
4.72E-05,67,E. coli - S. sonnei,0.1/99.9,1134687,Klebsiella michiganensis
3.59E-05,51,E. coli - S. sonnei,0.1/99.9,1463165,Klebsiella quasipneumoniae
2.33E-05,33,E. coli - S. sonnei,0.1/99.9,2153354,Klebsiella sp. WCHKl090001
1.83E-05,26,E. coli - S. sonnei,0.1/99.9,244366,Klebsiella variicola
1.27E-05,18,E. coli - S. sonnei,0.1/99.9,2488567,Klebsiella sp. FDAARGOS_511
1.06E-05,15,E. coli - S. sonnei,0.1/99.9,1972757,Klebsiella sp. PO552
2.82E-06,4,E. coli - S. sonnei,0.1/99.9,2015795,Klebsiella sp. LY
2.11E-06,3,E. coli - S. sonnei,0.1/99.9,1934254,Klebsiella sp. M5al
1.41E-06,2,E. coli - S. sonnei,0.1/99.9,2267618,Klebsiella sp. P1CD1
1.41E-06,2,E. coli - S. sonnei,0.1/99.9,2026240,Klebsiella quasivariicola
0.00012052,171,E. coli - S. sonnei,0.1/99.9,550,Enterobacter cloacae
6.48E-05,92,E. coli - S. sonnei,0.1/99.9,61645,Enterobacter asburiae
2.75E-05,39,E. coli - S. sonnei,0.1/99.9,158836,Enterobacter hormaechei
1.97E-05,28,E. coli - S. sonnei,0.1/99.9,1812935,Enterobacter roggenkampii
1.83E-05,26,E. coli - S. sonnei,0.1/99.9,299767,Enterobacter ludwigii
1.83E-05,26,E. coli - S. sonnei,0.1/99.9,69218,Enterobacter cancerogenus
1.48E-05,21,E. coli - S. sonnei,0.1/99.9,2027919,Enterobacter cloacae complex sp.
7.75E-06,11,E. coli - S. sonnei,0.1/99.9,208224,Enterobacter kobei
4.93E-06,7,E. coli - S. sonnei,0.1/99.9,1915310,Enterobacter cloacae complex sp. ECNIH7
2.11E-06,3,E. coli - S. sonnei,0.1/99.9,2077136,Enterobacter cloacae complex sp. FDA-CDC-AR_0164
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,2077137,Enterobacter cloacae complex sp. FDA-CDC-AR_0132
4.79E-05,68,E. coli - S. sonnei,0.1/99.9,1692238,Enterobacter sp. FY-07
3.88E-05,55,E. coli - S. sonnei,0.1/99.9,1914861,Enterobacter sp. SA187
2.47E-05,35,E. coli - S. sonnei,0.1/99.9,885040,Enterobacter soli
1.97E-05,28,E. coli - S. sonnei,0.1/99.9,881260,Enterobacter bugandensis
1.48E-05,21,E. coli - S. sonnei,0.1/99.9,1166130,Enterobacter sp. R4-368
7.75E-06,11,E. coli - S. sonnei,0.1/99.9,399742,Enterobacter sp. 638
4.23E-06,6,E. coli - S. sonnei,0.1/99.9,2500132,Enterobacter sp. N18-03635
2.82E-06,4,E. coli - S. sonnei,0.1/99.9,1827481,Enterobacter sp. ODB01
2.82E-06,4,E. coli - S. sonnei,0.1/99.9,1977566,Enterobacter sp. Crenshaw
2.11E-06,3,E. coli - S. sonnei,0.1/99.9,2093698,Enterobacter sp. DKU_NT_01
1.41E-06,2,E. coli - S. sonnei,0.1/99.9,1560339,Enterobacter sp. E20
1.41E-06,2,E. coli - S. sonnei,0.1/99.9,1868135,Enterobacter sp. HK169
0.000253021,359,E. coli - S. sonnei,0.1/99.9,54291,Raoultella ornithinolytica
4.65E-05,66,E. coli - S. sonnei,0.1/99.9,577,Raoultella terrigena
9.87E-06,14,E. coli - S. sonnei,0.1/99.9,575,Raoultella planticola
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,2259647,Raoultella sp. X13
5.78E-05,82,E. coli - S. sonnei,0.1/99.9,2282309,Leclercia sp. W17
1.55E-05,22,E. coli - S. sonnei,0.1/99.9,1920114,Leclercia sp. LSNIH1
7.05E-06,10,E. coli - S. sonnei,0.1/99.9,2282310,Leclercia sp. W6
4.23E-06,6,E. coli - S. sonnei,0.1/99.9,1920116,Leclercia sp. LSNIH3
4.23E-06,6,E. coli - S. sonnei,0.1/99.9,83655,Leclercia adecarboxylata
3.24E-05,46,E. coli - S. sonnei,0.1/99.9,208223,Kosakonia cowanii
1.76E-05,25,E. coli - S. sonnei,0.1/99.9,1158459,Kosakonia sacchari
1.34E-05,19,E. coli - S. sonnei,0.1/99.9,2492396,Kosakonia sp. CCTCC M2018092
1.06E-05,15,E. coli - S. sonnei,0.1/99.9,497725,Kosakonia oryzae
3.52E-06,5,E. coli - S. sonnei,0.1/99.9,283686,Kosakonia radicincitans
7.05E-05,100,E. coli - S. sonnei,0.1/99.9,693444,Enterobacteriaceae bacterium strain FGI 57
2.82E-05,40,E. coli - S. sonnei,0.1/99.9,891974,Plautia stali symbiont
1.55E-05,22,E. coli - S. sonnei,0.1/99.9,2066051,Enterobacteriaceae bacterium ENNIH1
2.11E-06,3,E. coli - S. sonnei,0.1/99.9,1920109,Enterobacteriaceae bacterium ENNIH2
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,1920128,Enterobacteriaceae bacterium ENNIH3
7.75E-06,11,E. coli - S. sonnei,0.1/99.9,1199245,secondary endosymbiont of Ctenarytaina eucalypti
1.41E-06,2,E. coli - S. sonnei,0.1/99.9,138072,Candidatus Hamiltonella defensa
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,134287,secondary endosymbiont of Heteropsylla cubana
2.11E-06,3,E. coli - S. sonnei,0.1/99.9,1778263,Candidatus Hoaglandella endobia
1.41E-06,2,E. coli - S. sonnei,0.1/99.9,1835721,secondary endosymbiont of Trabutina mannipara
1.41E-06,2,E. coli - S. sonnei,0.1/99.9,1778262,Candidatus Doolittlea endobia
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,1410383,Candidatus Tachikawaea gelatinosa
2.68E-05,38,E. coli - S. sonnei,0.1/99.9,28141,Cronobacter sakazakii
1.90E-05,27,E. coli - S. sonnei,0.1/99.9,1163710,Cronobacter condimenti
1.62E-05,23,E. coli - S. sonnei,0.1/99.9,413502,Cronobacter turicensis
7.75E-06,11,E. coli - S. sonnei,0.1/99.9,413501,Cronobacter muytjensii
7.75E-06,11,E. coli - S. sonnei,0.1/99.9,413497,Cronobacter dublinensis
5.64E-06,8,E. coli - S. sonnei,0.1/99.9,413503,Cronobacter malonaticus
4.23E-06,6,E. coli - S. sonnei,0.1/99.9,535744,Cronobacter universalis
5.00E-05,71,E. coli - S. sonnei,0.1/99.9,61646,Lelliottia amnigena
2.33E-05,33,E. coli - S. sonnei,0.1/99.9,2153385,Lelliottia sp. WB101
2.11E-05,30,E. coli - S. sonnei,0.1/99.9,1907578,Lelliottia jeotgali
7.05E-06,10,E. coli - S. sonnei,0.1/99.9,69220,Lelliottia nimipressuralis
5.57E-05,79,E. coli - S. sonnei,0.1/99.9,1334193,[Enterobacter] lignolyticus
4.44E-05,63,E. coli - S. sonnei,0.1/99.9,61647,Pluralibacter gergoviae
0.000100786,143,E. coli - S. sonnei,0.1/99.9,565,Atlantibacter hermannii
8.32E-05,118,E. coli - S. sonnei,0.1/99.9,61648,Kluyvera intermedia
4.58E-05,65,E. coli - S. sonnei,0.1/99.9,158822,Cedecea neteri
1.90E-05,27,E. coli - S. sonnei,0.1/99.9,158823,Cedecea lapagei
3.52E-05,50,E. coli - S. sonnei,0.1/99.9,563,Shimwellia blattae
3.52E-05,50,E. coli - S. sonnei,0.1/99.9,2479367,Buttiauxella sp. 3AFRM03
4.23E-06,6,E. coli - S. sonnei,0.1/99.9,929813,Gibbsiella quercinecans
3.52E-06,5,E. coli - S. sonnei,0.1/99.9,2172103,Limnobaculum parvum
2.82E-06,4,E. coli - S. sonnei,0.1/99.9,1048758,Candidatus Moranella endobia
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,2487150,Metakosakonia sp. MRY16-398
0.000199457,283,E. coli - S. sonnei,0.1/99.9,632,Yersinia pestis
6.34E-06,9,E. coli - S. sonnei,0.1/99.9,633,Yersinia pseudotuberculosis
2.04E-05,29,E. coli - S. sonnei,0.1/99.9,630,Yersinia enterocolitica
6.34E-06,9,E. coli - S. sonnei,0.1/99.9,29484,Yersinia frederiksenii
2.11E-06,3,E. coli - S. sonnei,0.1/99.9,29486,Yersinia ruckeri
1.41E-06,2,E. coli - S. sonnei,0.1/99.9,631,Yersinia intermedia
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,28152,Yersinia kristensenii
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,263819,Yersinia aleksiciae
1.27E-05,18,E. coli - S. sonnei,0.1/99.9,615,Serratia marcescens
9.87E-06,14,E. coli - S. sonnei,0.1/99.9,82996,Serratia plymuthica
4.93E-06,7,E. coli - S. sonnei,0.1/99.9,1759437,Serratia sp. YD25
2.11E-06,3,E. coli - S. sonnei,0.1/99.9,2033438,Serratia sp. MYb239
1.41E-06,2,E. coli - S. sonnei,0.1/99.9,618,Serratia odorifera
1.41E-06,2,E. coli - S. sonnei,0.1/99.9,671990,Serratia sp. FGI94
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,104623,Serratia sp. ATCC 39006
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,47917,Serratia fonticola
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,2420306,Serratia sp. FDAARGOS_506
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,34038,Rahnella aquatilis
1.41E-06,2,E. coli - S. sonnei,0.1/99.9,2126321,Nissabacter sp. SGAir0207
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,1639108,Chania multitudinisentens
3.17E-05,45,E. coli - S. sonnei,0.1/99.9,553,Pantoea ananatis
2.82E-06,4,E. coli - S. sonnei,0.1/99.9,66269,Pantoea stewartii
2.11E-06,3,E. coli - S. sonnei,0.1/99.9,1235990,Candidatus Pantoea carbekii
2.11E-06,3,E. coli - S. sonnei,0.1/99.9,1484157,Pantoea sp. PSNIH2
2.11E-06,3,E. coli - S. sonnei,0.1/99.9,1484158,Pantoea sp. PSNIH1
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,470934,Pantoea vagans
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,549,Pantoea agglomerans
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,592316,Pantoea sp. At-9b
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,1076550,Pantoea rwandensis
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,2575375,Pantoea sp. SO10
4.23E-06,6,E. coli - S. sonnei,0.1/99.9,215689,Erwinia sp. Ejp617
2.11E-06,3,E. coli - S. sonnei,0.1/99.9,1619313,Erwinia gerundensis
1.41E-06,2,E. coli - S. sonnei,0.1/99.9,338565,Erwinia tasmaniensis
1.41E-06,2,E. coli - S. sonnei,0.1/99.9,552,Erwinia amylovora
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,1922217,Candidatus Erwinia haradaeae
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,53336,Tatumella citrea
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,82987,Tatumella ptyseos
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,642227,Tatumella morbirosei
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,665914,Mixta gaviniae
1.83E-05,26,E. coli - S. sonnei,0.1/99.9,204042,Dickeya zeae
2.82E-06,4,E. coli - S. sonnei,0.1/99.9,2037915,Dickeya sp. Secpp 1600
2.11E-06,3,E. coli - S. sonnei,0.1/99.9,568766,Dickeya sp. NCPPB 3274
1.41E-06,2,E. coli - S. sonnei,0.1/99.9,556,Dickeya chrysanthemi
1.41E-06,2,E. coli - S. sonnei,0.1/99.9,69223,Dickeya paradisiaca
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,204038,Dickeya dadantii
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,1089444,Dickeya solani
1.06E-05,15,E. coli - S. sonnei,0.1/99.9,554,Pectobacterium carotovorum
1.41E-06,2,E. coli - S. sonnei,0.1/99.9,29471,Pectobacterium atrosepticum
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,1905730,Pectobacterium parmentieri
2.11E-06,3,E. coli - S. sonnei,0.1/99.9,1486991,Candidatus Sodalis pierantonius
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,63612,Sodalis glossinidius
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,1929246,Sodalis endosymbiont of Henestaris halophilus
1.41E-06,2,E. coli - S. sonnei,0.1/99.9,1109412,Brenneria goodwinii
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,55213,Brenneria rubrifaciens
2.11E-06,3,E. coli - S. sonnei,0.1/99.9,1082704,Lonsdalea britannica
8.46E-06,12,E. coli - S. sonnei,0.1/99.9,584,Proteus mirabilis
1.41E-06,2,E. coli - S. sonnei,0.1/99.9,183417,Proteus hauseri
2.11E-06,3,E. coli - S. sonnei,0.1/99.9,588,Providencia stuartii
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,333962,Providencia heimbachae
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,587,Providencia rettgeri
2.11E-06,3,E. coli - S. sonnei,0.1/99.9,351671,Xenorhabdus doucetiae
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,40577,Xenorhabdus poinarii
2.82E-06,4,E. coli - S. sonnei,0.1/99.9,638,Arsenophonus nasoniae
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,634113,Candidatus Arsenophonus lipoptenae
1.41E-06,2,E. coli - S. sonnei,0.1/99.9,2218628,Photorhabdus laumondii
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,230089,Photorhabdus thracensis
1.41E-06,2,E. coli - S. sonnei,0.1/99.9,582,Morganella morganii
7.05E-06,10,E. coli - S. sonnei,0.1/99.9,569,Hafnia alvei
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,546367,Hafnia paralvei
4.93E-06,7,E. coli - S. sonnei,0.1/99.9,67780,Edwardsiella ictaluri
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,636,Edwardsiella tarda
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,1263550,Edwardsiella piscicida
2.11E-06,3,E. coli - S. sonnei,0.1/99.9,1972431,Phytobacter ursingii
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,1756993,Phytobacter sp. SCO41
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,703,Plesiomonas shigelloides
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,158841,Leminorella richardii
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,82985,Pragia fontium
1.20E-05,17,E. coli - S. sonnei,0.1/99.9,669,Vibrio harveyi
5.64E-06,8,E. coli - S. sonnei,0.1/99.9,680,Vibrio campbellii
5.64E-06,8,E. coli - S. sonnei,0.1/99.9,670,Vibrio parahaemolyticus
2.18E-05,31,E. coli - S. sonnei,0.1/99.9,666,Vibrio cholerae
9.16E-06,13,E. coli - S. sonnei,0.1/99.9,672,Vibrio vulnificus
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,1074311,Vibrio alfacsensis
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,676,Vibrio fluvialis
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,1891186,Vibrio aphrogenes
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,52443,Vibrio tapetis
2.82E-06,4,E. coli - S. sonnei,0.1/99.9,40269,Aliivibrio salmonicida
1.41E-06,2,E. coli - S. sonnei,0.1/99.9,74109,Photobacterium profundum
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,38293,Photobacterium damselae
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,1908198,Salinivibrio kushneri
7.75E-06,11,E. coli - S. sonnei,0.1/99.9,287,Pseudomonas aeruginosa
7.05E-06,10,E. coli - S. sonnei,0.1/99.9,587753,Pseudomonas chlororaphis
2.11E-06,3,E. coli - S. sonnei,0.1/99.9,303,Pseudomonas putida
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,74829,Pseudomonas balearica
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,251701,Pseudomonas syringae group genomosp. 3
9.16E-06,13,E. coli - S. sonnei,0.1/99.9,470,Acinetobacter baumannii
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,48296,Acinetobacter pittii
1.41E-06,2,E. coli - S. sonnei,0.1/99.9,52133,Acinetobacter venetianus
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,29430,Acinetobacter haemolyticus
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,476,Moraxella bovis
9.87E-06,14,E. coli - S. sonnei,0.1/99.9,47735,Bibersteinia trehalosi
4.23E-06,6,E. coli - S. sonnei,0.1/99.9,747,Pasteurella multocida
3.52E-06,5,E. coli - S. sonnei,0.1/99.9,727,Haemophilus influenzae
2.11E-06,3,E. coli - S. sonnei,0.1/99.9,714,Aggregatibacter actinomycetemcomitans
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,85404,Mannheimia varigena
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,75985,Mannheimia haemolytica
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,738,Glaesserella parasuis
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,157673,[Mannheimia] succiniciproducens
1.83E-05,26,E. coli - S. sonnei,0.1/99.9,446,Legionella pneumophila
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,452,Legionella spiritensis
1.41E-06,2,E. coli - S. sonnei,0.1/99.9,314275,Alteromonas mediterranea
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,589873,Alteromonas australica
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,2303538,Salinimonas sp. N102
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,2172099,Catenovulum sp. CCB-QB4
2.11E-06,3,E. coli - S. sonnei,0.1/99.9,62322,Shewanella baltica
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,43662,Pseudoalteromonas piscicida
8.46E-06,12,E. coli - S. sonnei,0.1/99.9,644,Aeromonas hydrophila
1.41E-06,2,E. coli - S. sonnei,0.1/99.9,651,Aeromonas media
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,648,Aeromonas caviae
3.52E-06,5,E. coli - S. sonnei,0.1/99.9,2545632,Rheinheimera sp. D18
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,1052,Halorhodospira halochloris
1.41E-06,2,E. coli - S. sonnei,0.1/99.9,40324,Stenotrophomonas maltophilia
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,339,Xanthomonas campestris
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,346,Xanthomonas citri
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,1444770,Xylella taiwanensis
1.41E-06,2,E. coli - S. sonnei,0.1/99.9,186490,Candidatus Baumannia cicadellinicola
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,650377,endosymbiont of Euscepes postfasciatus
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,39765,Hydrogenovibrio crunogenus
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,114186,Candidatus Carsonella ruddii
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,2014542,Alcanivorax sp. N3-2A
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,39775,Methylomicrobium album
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,271065,Methylomicrobium alcaliphilum
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,447471,Simiduia agarivorans
9.16E-06,13,E. coli - S. sonnei,0.1/99.9,487,Neisseria meningitidis
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,63,Vitreoscilla filiformis
2.11E-06,3,E. coli - S. sonnei,0.1/99.9,1778675,Chromobacterium rhizoryzae
3.52E-06,5,E. coli - S. sonnei,0.1/99.9,123899,Bordetella trematum
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,520,Bordetella pertussis
1.41E-06,2,E. coli - S. sonnei,0.1/99.9,206506,Kerstersia gyiorum
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,656179,Pandoraea faecigallinarum
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,93220,Pandoraea pnomenusa
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,152500,Burkholderia dolosa
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,1296669,Aquabacterium olei
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,2005884,Thauera sp. K11
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,1576550,Candidatus Kinetoplastibacterium sorsogonicusi
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,29459,Brucella melitensis
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,2048283,Thalassospira marina
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,55518,Magnetospirillum gryphiswaldense
1.41E-06,2,E. coli - S. sonnei,0.1/99.9,33059,Acidithiobacillus caldus
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,84980,Desulfotalea psychrophila
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,2493639,Silvanigrellales bacterium RF1110005
4.79E-05,68,E. coli - S. sonnei,0.1/99.9,1396,Bacillus cereus
4.93E-06,7,E. coli - S. sonnei,0.1/99.9,64104,Bacillus pseudomycoides
1.41E-06,2,E. coli - S. sonnei,0.1/99.9,1428,Bacillus thuringiensis
4.93E-06,7,E. coli - S. sonnei,0.1/99.9,1313,Streptococcus pneumoniae
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,1358,Lactococcus lactis
1.41E-06,2,E. coli - S. sonnei,0.1/99.9,1352,Enterococcus faecium
1.41E-06,2,E. coli - S. sonnei,0.1/99.9,2506420,Weissella sp. 26KH-42
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,51663,Pediococcus damnosus
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,46354,Thermoanaerobacter wiegelii
1.41E-06,2,E. coli - S. sonnei,0.1/99.9,1437453,Streptomyces leeuwenhoekii
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,1950,Streptomyces peucetius
1.41E-06,2,E. coli - S. sonnei,0.1/99.9,1718,Corynebacterium glutamicum
1.41E-06,2,E. coli - S. sonnei,0.1/99.9,33011,Cutibacterium granulosum
1.41E-06,2,E. coli - S. sonnei,0.1/99.9,2033844,Actinoplanes sp. SE50
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,37928,Arthrobacter crystallopoietes
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,1188228,Gloeomargarita lithophora
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,1642647,Proteiniphilum saccharofermentans
8.46E-06,12,E. coli - S. sonnei,0.1/99.9,9606,Homo sapiens
6.34E-06,9,E. coli - S. sonnei,0.1/99.9,66284,Shigella phage SfII
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,55884,Enterobacteria phage SfV
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,103807,Enterobacteria phage phiP27
1.41E-06,2,E. coli - S. sonnei,0.1/99.9,196242,Enterobacteria phage BP-4795
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,563769,Stx2-converting phage 1717
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,2169924,Escherichia virus HK633
7.05E-07,1,E. coli - S. sonnei,0.1/99.9,2169923,Escherichia virus HK544
0.115268038,208631,E. coli - S. sonnei,1.0/99.0,623,Shigella flexneri
0.006243218,11300,E. coli - S. sonnei,1.0/99.0,622,Shigella dysenteriae
0.004808383,8703,E. coli - S. sonnei,1.0/99.0,621,Shigella boydii
0.000590067,1068,E. coli - S. sonnei,1.0/99.0,624,Shigella sonnei
4.42E-06,8,E. coli - S. sonnei,1.0/99.0,1813821,Shigella sp. PAMC 28760
0.03773169,68293,E. coli - S. sonnei,1.0/99.0,562,Escherichia coli
0.001258589,2278,E. coli - S. sonnei,1.0/99.0,208962,Escherichia albertii
0.000359676,651,E. coli - S. sonnei,1.0/99.0,564,Escherichia fergusonii
9.72E-05,176,E. coli - S. sonnei,1.0/99.0,1499973,Escherichia marmotae
0.00152876,2767,E. coli - S. sonnei,1.0/99.0,28901,Salmonella enterica
3.81E-05,69,E. coli - S. sonnei,1.0/99.0,54736,Salmonella bongori
7.18E-06,13,E. coli - S. sonnei,1.0/99.0,2500542,Salmonella sp. SSDFZ54
0.000453048,820,E. coli - S. sonnei,1.0/99.0,573,Klebsiella pneumoniae
0.000172379,312,E. coli - S. sonnei,1.0/99.0,548,Klebsiella aerogenes
6.13E-05,111,E. coli - S. sonnei,1.0/99.0,571,Klebsiella oxytoca
4.14E-05,75,E. coli - S. sonnei,1.0/99.0,1134687,Klebsiella michiganensis
3.81E-05,69,E. coli - S. sonnei,1.0/99.0,1463165,Klebsiella quasipneumoniae
2.65E-05,48,E. coli - S. sonnei,1.0/99.0,2153354,Klebsiella sp. WCHKl090001
1.71E-05,31,E. coli - S. sonnei,1.0/99.0,244366,Klebsiella variicola
